date,pitcher_id,pitcher_name,team,recent_games,avg_ip,avg_outs,avg_k,avg_bb,avg_hits,avg_er,avg_hr,avg_era,avg_whip,avg_batters_faced,avg_k_rate,avg_bb_rate,avg_k_minus_bb_rate,avg_k_per_9,avg_bb_per_9,avg_hits_per_9,avg_hr_per_9,avg_fip_component
2026-07-20,671096,Andrew Abbott,Cincinnati Reds,5,5.0667,15.2,5.2,2.4,5.0,2.6,1.0,3.928,1.4992,22.8,0.2273,0.106,0.1213,9.015,4.5675,8.925,1.6725,1.935
2026-07-20,674841,Andrew Alvarez,Washington Nationals,5,4.1333,12.4,4.4,2.0,4.0,2.2,0.0,3.502,1.5616,18.2,0.2542,0.097,0.1572,9.8441,4.1201,9.9343,0.0,-0.5798
2026-07-20,677952,Braxton Ashcraft,Pittsburgh Pirates,5,5.7333,17.2,7.6,1.6,5.0,2.6,1.2,3.262,1.1624,23.4,0.325,0.0679,0.2571,11.8835,2.5553,7.9059,1.9376,1.0098
2026-07-20,693821,Bryce Elder,Atlanta Braves,5,4.8,14.4,3.8,1.8,6.8,4.8,1.8,3.53,1.85,23.0,0.1676,0.0791,0.0885,7.05,3.45,13.2,3.75,5.0
2026-07-20,650911,Cristopher Sánchez,Philadelphia Phillies,5,5.6667,17.0,5.6,1.2,7.4,3.4,1.2,2.234,1.7571,25.0,0.2167,0.0481,0.1686,8.3143,1.9714,13.8429,2.5371,2.5943
2026-07-20,656302,Dylan Cease,Toronto Blue Jays,5,6.0667,18.2,9.0,3.4,3.0,1.2,0.0,2.766,1.1671,24.2,0.371,0.1428,0.2282,13.7076,5.5713,4.9322,0.0,-1.189
2026-07-20,686218,Emmet Sheehan,Los Angeles Dodgers,5,4.6,13.8,5.8,2.0,4.0,2.6,0.8,4.976,1.4469,20.4,0.2836,0.0992,0.1844,11.2794,4.2837,8.7387,1.8,1.7613
2026-07-20,607200,Erick Fedde,Chicago White Sox,5,4.6,13.8,3.2,1.8,4.8,1.6,0.2,4.34,1.4218,20.2,0.1615,0.0883,0.0732,6.2229,3.6032,9.1929,0.3375,0.3057
2026-07-20,642547,Freddy Peralta,New York Mets,5,4.2667,12.8,4.6,2.2,6.2,3.6,1.0,4.702,2.206,21.8,0.2084,0.1024,0.106,9.5448,4.8053,15.0487,2.6011,3.3664
2026-07-20,669923,George Kirby,Seattle Mariners,5,6.4,19.2,6.8,1.2,7.8,2.2,0.8,3.936,1.4333,26.6,0.2561,0.0437,0.2124,9.675,1.725,11.175,1.125,0.05
2026-07-20,676664,JP Sears,San Diego Padres,4,4.9167,14.75,4.25,2.0,5.0,2.75,1.0,4.97,1.452,21.5,0.203,0.0926,0.1104,7.7216,3.6598,9.4078,1.8435,2.1668
2026-07-20,656427,Jack Flaherty,Detroit Tigers,5,4.9333,14.8,5.6,1.6,3.2,1.4,0.2,4.942,1.0192,20.0,0.2666,0.0795,0.1872,9.7482,2.94,6.2329,0.3,-0.5471
2026-07-20,694819,Jacob Misiorowski,Milwaukee Brewers,5,6.6,19.8,10.2,1.0,3.2,1.4,1.0,1.466,0.7079,24.0,0.4222,0.0431,0.3791,13.9286,1.5,4.8714,1.5343,-0.2933
2026-07-20,594798,Jacob deGrom,Texas Rangers,5,6.0,18.0,7.6,1.4,5.0,2.8,0.6,3.456,1.0943,23.8,0.3184,0.0587,0.2597,11.4343,2.22,7.6286,0.8571,-0.6629
2026-07-20,592791,Jameson Taillon,Chicago Cubs,5,4.4,13.2,3.8,1.4,5.8,3.8,1.8,5.172,2.0468,20.2,0.2015,0.1009,0.1006,9.3938,5.3499,13.071,3.1899,4.3035
2026-07-20,676083,Janson Junk,Miami Marlins,5,5.3333,16.0,4.2,1.8,7.2,4.2,1.2,4.366,1.6788,24.2,0.1745,0.0749,0.0996,7.0306,2.9929,12.1165,2.0153,2.3463
2026-07-20,605488,Jeffrey Springs,Athletics,5,4.5333,13.6,4.2,2.8,5.6,5.4,2.0,5.614,1.8854,22.0,0.2007,0.1268,0.0738,8.5752,5.6502,11.3184,4.1751,6.0085
2026-07-20,657746,Joe Ryan,Minnesota Twins,5,5.6,16.8,7.2,1.8,5.0,1.2,0.4,2.984,1.281,23.6,0.3054,0.0797,0.2257,11.5843,3.2271,8.3014,0.75,-0.4152
2026-07-20,667755,José Soriano,Los Angeles Angels,5,4.8,14.4,4.6,2.2,5.0,3.2,0.6,3.312,1.6267,21.2,0.2137,0.1033,0.1103,9.0,4.32,10.32,1.56,1.7933
2026-07-20,607536,Kyle Freeland,Colorado Rockies,5,5.8667,17.6,6.0,0.4,7.2,4.0,0.8,7.386,1.3491,24.6,0.2482,0.0164,0.2318,9.1036,0.66,11.4818,1.26,0.017
2026-07-20,681517,Kyle Leahy,St. Louis Cardinals,5,5.0667,15.2,4.6,1.6,3.2,0.8,0.0,4.11,0.8912,19.4,0.2344,0.0757,0.1587,8.1126,2.6684,5.3526,0.0,-0.7933
2026-07-20,608379,Michael Wacha,Kansas City Royals,5,6.2667,18.8,5.4,1.4,6.6,3.0,0.8,3.53,1.335,26.2,0.2057,0.0558,0.1499,7.8578,2.2491,9.7658,1.2857,1.0892
2026-07-20,683352,Mitch Bratt,Arizona Diamondbacks,2,3.0,9.0,1.5,2.5,2.5,2.0,0.5,4.5,1.6667,14.0,0.1154,0.1769,-0.0615,4.5,7.5,7.5,1.5,3.6667
2026-07-20,607259,Nick Martinez,Tampa Bay Rays,5,5.5333,16.6,3.6,1.2,4.4,2.0,1.0,2.65,1.0076,22.0,0.1609,0.0536,0.1073,5.8279,1.9125,7.1559,1.6301,1.8096
2026-07-20,801139,Payton Tolle,Boston Red Sox,5,5.1333,15.4,5.4,1.8,3.8,2.0,0.6,3.1,1.3372,21.0,0.2748,0.0855,0.1893,10.6364,3.7052,8.3299,1.5,1.0381
2026-07-20,677960,Ryan Weathers,New York Yankees,5,4.6667,14.0,5.8,1.2,5.6,1.8,0.2,4.12,1.978,20.8,0.2771,0.0598,0.2173,12.0387,2.8642,14.9376,0.2842,-1.16
2026-07-20,669358,Shane Baz,Baltimore Orioles,5,5.9333,17.8,6.4,2.0,6.2,3.0,0.2,4.188,1.4314,25.4,0.2553,0.0753,0.18,10.0286,2.8029,10.08,0.36,-0.7743
2026-07-20,676440,Tanner Bibee,Cleveland Guardians,5,5.8,17.4,3.2,1.6,4.6,2.4,1.0,3.892,1.1212,23.0,0.1403,0.0679,0.0725,5.0368,2.505,7.5857,1.9446,2.6246
2026-07-20,686790,Trevor McDonald,San Francisco Giants,5,4.7333,14.2,2.6,1.2,5.0,3.0,0.4,4.954,1.8762,21.2,0.1196,0.0574,0.0622,4.1411,3.1661,13.7196,1.0286,2.3065
