slate_date,date,game_id,game_status,game_status_code,venue_id,venue,team,opponent,pitcher_id,pitcher_name,opposing_pitcher_id,opposing_pitcher_name,side,is_home,home_team,away_team,date_season,season,game_id_season,pitcher_name_season,team_season,opponent_season,side_season,is_home_season,games,games_started,innings_pitched,innings_decimal,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses,season_k_per_start,avg_ip_per_start,walks_per_start,hits_per_start,earned_runs_per_start,win_rate,k_per_9,bb_per_9,hits_per_9,hr_per_9,strikeout_rate,walk_rate,k_minus_bb_rate,fip_component,date_recent,pitcher_name_recent,team_recent,recent_games,avg_ip,avg_outs,avg_k,avg_bb,avg_hits,avg_er,avg_hr,avg_era,avg_whip,avg_batters_faced,avg_k_rate,avg_bb_rate,avg_k_minus_bb_rate,avg_k_per_9,avg_bb_per_9,avg_hits_per_9,avg_hr_per_9,avg_fip_component,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip
2026-07-19,2026-07-19,822786,Final,F,14,Rogers Centre,Chicago White Sox,Toronto Blue Jays,680732,Sean Burke,702056.0,Trey Yesavage,away,0,Toronto Blue Jays,Chicago White Sox,2026-07-19,2026,822786,Sean Burke,Chicago White Sox,Toronto Blue Jays,away,0,20.0,16.0,112.1,112.33333333333331,3.2,1.13,120.0,34.0,93.0,40.0,13.0,458.0,7.0,4.0,7.5,7.020833333333333,2.125,5.8125,2.5,0.4375,9.614243323442135,2.724035608308605,7.451038575667656,1.0415430267062316,0.2620087336244541,0.074235807860262,0.1877729257641921,0.2759643916913947,2026-07-19,Sean Burke,Chicago White Sox,5,6.4,19.2,8.4,1.0,5.2,1.2,0.8,3.652,0.9948,24.4,0.3464,0.0418,0.3046,11.9832,1.5422,7.4111,1.0868,-0.3986,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,8.4,6.26,5.2,1.0,1.2,9.333333333333334,6.033333333333334
2026-07-19,2026-07-19,822786,Final,F,14,Rogers Centre,Toronto Blue Jays,Chicago White Sox,702056,Trey Yesavage,680732.0,Sean Burke,home,1,Toronto Blue Jays,Chicago White Sox,2026-07-19,2026,822786,Trey Yesavage,Toronto Blue Jays,Chicago White Sox,home,1,15.0,15.0,81.0,81.0,3.78,1.16,78.0,41.0,53.0,34.0,8.0,335.0,4.0,5.0,5.2,5.4,2.7333333333333334,3.533333333333333,2.2666666666666666,0.2666666666666666,8.666666666666666,4.555555555555555,5.888888888888889,0.8888888888888888,0.2328358208955223,0.1223880597014925,0.1104477611940298,0.8765432098765432,2026-07-19,Trey Yesavage,Toronto Blue Jays,5,5.4667,16.4,4.4,2.8,2.6,2.2,0.8,3.538,1.5728,22.6,0.1839,0.1644,0.0195,7.051,9.7482,4.4071,1.0609,3.305,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,4.4,5.14,2.6,2.8,2.2,3.6666666666666665,4.466666666666667
2026-07-19,2026-07-19,823113,In Progress,I,680,T-Mobile Park,San Francisco Giants,Seattle Mariners,592662,Robbie Ray,669302.0,Logan Gilbert,away,0,Seattle Mariners,San Francisco Giants,2026-07-19,2026,823113,Robbie Ray,San Francisco Giants,Seattle Mariners,away,0,20.0,19.0,107.2,107.66666666666669,3.34,1.25,91.0,52.0,83.0,40.0,15.0,447.0,8.0,6.0,4.789473684210527,5.666666666666667,2.736842105263158,4.368421052631579,2.1052631578947367,0.4210526315789473,7.606811145510836,4.346749226006192,6.938080495356036,1.2538699690402475,0.203579418344519,0.116331096196868,0.087248322147651,1.569659442724458,2026-07-19,Robbie Ray,San Francisco Giants,5,6.6667,20.0,4.8,3.2,3.4,0.8,0.2,3.598,1.068,25.8,0.1924,0.1288,0.0636,6.7137,4.7534,4.8584,0.3,0.5259,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,4.8,6.62,3.4,3.2,0.8,3.3333333333333335,6.333333333333333
2026-07-19,2026-07-19,823113,In Progress,I,680,T-Mobile Park,Seattle Mariners,San Francisco Giants,669302,Logan Gilbert,592662.0,Robbie Ray,home,1,Seattle Mariners,San Francisco Giants,2026-07-19,2026,823113,Logan Gilbert,Seattle Mariners,San Francisco Giants,home,1,20.0,20.0,115.0,115.0,3.44,1.01,121.0,24.0,92.0,44.0,15.0,455.0,7.0,6.0,6.05,5.75,1.2,4.6,2.2,0.35,9.469565217391304,1.8782608695652168,7.2,1.173913043478261,0.2659340659340659,0.0527472527472527,0.2131868131868131,0.217391304347826,2026-07-19,Logan Gilbert,Seattle Mariners,5,6.8667,20.6,7.4,1.0,4.4,2.0,0.2,3.33,0.8009,25.6,0.2969,0.0395,0.2574,9.7133,1.3656,5.8424,0.2842,-1.2971,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,7.4,6.68,4.4,1.0,2.0,6.333333333333333,6.766666666666667
2026-07-19,2026-07-19,823439,In Progress,I,2681,Citizens Bank Park,New York Mets,Philadelphia Phillies,690997,Nolan McLean,660604.0,Alan Rangel,away,0,Philadelphia Phillies,New York Mets,2026-07-19,2026,823439,Nolan McLean,New York Mets,Philadelphia Phillies,away,0,20.0,20.0,113.1,113.33333333333331,3.34,1.09,135.0,41.0,83.0,42.0,10.0,469.0,6.0,6.0,6.75,5.666666666666666,2.05,4.15,2.1,0.3,10.720588235294118,3.2558823529411764,6.591176470588236,0.7941176470588236,0.2878464818763326,0.0874200426439232,0.2004264392324093,-0.15,2026-07-19,Nolan McLean,New York Mets,5,6.2,18.6,7.4,1.6,5.0,1.6,0.4,3.746,1.081,26.2,0.2808,0.0611,0.2197,10.7143,2.3571,7.3714,0.6,-0.2429,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,7.4,6.2,5.0,1.6,1.6,6.333333333333333,6.0
2026-07-19,2026-07-19,823439,In Progress,I,2681,Citizens Bank Park,Philadelphia Phillies,New York Mets,660604,Alan Rangel,690997.0,Nolan McLean,home,1,Philadelphia Phillies,New York Mets,2026-07-19,2026,823439,Alan Rangel,Philadelphia Phillies,New York Mets,home,1,6.0,3.0,23.1,23.33333333333333,5.4,1.59,26.0,12.0,25.0,14.0,4.0,108.0,0.0,2.0,8.666666666666666,7.777777777777778,4.0,8.333333333333334,4.666666666666667,0.0,10.028571428571428,4.628571428571429,9.642857142857144,1.542857142857143,0.2407407407407407,0.1111111111111111,0.1296296296296296,1.542857142857143,2026-07-19,Alan Rangel,Philadelphia Phillies,5,3.8667,11.6,4.4,1.8,3.6,1.8,0.6,3.464,1.41,17.0,0.2728,0.1042,0.1687,10.74,4.32,8.37,1.44,1.2533,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,4.4,3.8200000000000003,3.6,1.8,1.8,4.333333333333333,3.6999999999999997
2026-07-19,2026-07-19,823521,Scheduled,S,3313,Yankee Stadium,Los Angeles Dodgers,New York Yankees,694361,Will Klein,,,away,0,New York Yankees,Los Angeles Dodgers,2026-07-19,2026,823521,Will Klein,Los Angeles Dodgers,New York Yankees,away,0,32.0,2.0,37.1,37.333333333333336,2.41,1.37,43.0,16.0,35.0,10.0,2.0,161.0,3.0,4.0,21.5,18.666666666666668,8.0,17.5,5.0,1.5,10.366071428571429,3.8571428571428568,8.4375,0.4821428571428571,0.2670807453416149,0.0993788819875776,0.1677018633540372,-0.3214285714285714,2026-07-19,Will Klein,Los Angeles Dodgers,5,1.2,3.6,1.8,0.6,0.8,0.2,0.0,2.368,1.94,5.4,0.3429,0.1071,0.2357,12.06,7.56,9.9,0.0,0.44,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,1.8,1.06,0.8,0.6,0.2,1.3333333333333333,0.7666666666666666
2026-07-19,2026-07-19,823523,Final,F,3313,Yankee Stadium,Los Angeles Dodgers,New York Yankees,808967,Yoshinobu Yamamoto,693645.0,Cam Schlittler,away,0,New York Yankees,Los Angeles Dodgers,2026-07-19,2026,823523,Yoshinobu Yamamoto,Los Angeles Dodgers,New York Yankees,away,0,18.0,18.0,119.2,119.66666666666669,2.78,0.88,113.0,25.0,80.0,37.0,13.0,455.0,10.0,6.0,6.277777777777778,6.648148148148149,1.3888888888888888,4.444444444444445,2.055555555555556,0.5555555555555556,8.498607242339833,1.8802228412256268,6.016713091922005,0.977715877437326,0.2483516483516483,0.0549450549450549,0.1934065934065934,0.1504178272980501,2026-07-19,Yoshinobu Yamamoto,Los Angeles Dodgers,5,6.6667,20.0,6.6,2.0,4.0,2.4,0.6,2.636,0.9669,25.8,0.2558,0.0777,0.1781,8.8834,2.9143,5.7874,0.816,0.076,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,6.6,6.62,4.0,2.0,2.4,6.666666666666667,6.333333333333333
2026-07-19,2026-07-19,823523,Final,F,3313,Yankee Stadium,New York Yankees,Los Angeles Dodgers,693645,Cam Schlittler,808967.0,Yoshinobu Yamamoto,home,1,New York Yankees,Los Angeles Dodgers,2026-07-19,2026,823523,Cam Schlittler,New York Yankees,Los Angeles Dodgers,home,1,21.0,21.0,123.0,123.0,2.2,0.96,145.0,25.0,93.0,30.0,12.0,489.0,9.0,6.0,6.904761904761905,5.857142857142857,1.1904761904761905,4.428571428571429,1.4285714285714286,0.4285714285714285,10.609756097560975,1.829268292682927,6.804878048780488,0.8780487804878049,0.2965235173824131,0.0511247443762781,0.245398773006135,-0.4796747967479675,2026-07-19,Cam Schlittler,New York Yankees,5,5.9333,17.8,8.2,1.4,4.8,1.8,1.4,1.894,1.1533,24.6,0.3366,0.0556,0.281,12.81,2.25,8.13,2.7,2.0233,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,8.2,5.84,4.8,1.4,1.8,6.333333333333333,6.066666666666666
2026-07-19,2026-07-19,823764,In Progress,I,32,American Family Field,Miami Marlins,Milwaukee Brewers,691587,Eury Pérez,688107.0,Robert Gasser,away,0,Milwaukee Brewers,Miami Marlins,2026-07-19,2026,823764,Eury Pérez,Miami Marlins,Milwaukee Brewers,away,0,17.0,17.0,91.2,91.66666666666669,3.53,1.11,104.0,37.0,65.0,36.0,13.0,371.0,5.0,7.0,6.117647058823529,5.392156862745098,2.176470588235294,3.823529411764706,2.117647058823529,0.2941176470588235,10.210909090909093,3.632727272727272,6.381818181818182,1.2763636363636364,0.2803234501347709,0.0997304582210242,0.1805929919137466,0.7854545454545454,2026-07-19,Eury Pérez,Miami Marlins,5,5.4,16.2,6.4,1.2,3.2,0.8,0.4,4.168,0.8369,19.8,0.3284,0.0517,0.2767,10.9929,1.95,5.5821,0.7232,-0.4857,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,6.4,5.26,3.2,1.2,0.8,7.333333333333333,6.033333333333334
