target_date,season,game_id,game_date,pitcher_id,pitcher_name,team,game_team,opponent,is_home,decision,games_started,innings,outs_recorded,batters_faced,at_bats_against,pitches_thrown,strikes,strikeouts,walks,intentional_walks,hits,doubles_allowed,triples_allowed,home_runs,runs,earned_runs,hit_batters,wild_pitches,wins,losses,saves,holds,era,whip,strikeout_rate_bf,walk_rate_bf,k_minus_bb_rate,home_runs_per_9,hits_per_9,walks_per_9,strikeouts_per_9,fip_component
2026-07-23,2026,824901,2026-07-17,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Texas Rangers,1,,1,7.0,21,23.0,23.0,89.0,62.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2.06,0.2857142857142857,0.2608695652173913,0.0,0.2608695652173913,0.0,2.5714285714285716,0.0,7.714285714285714,-1.7142857142857142
2026-07-23,2026,823033,2026-07-10,519242,Chris Sale,Atlanta Braves,Atlanta Braves,St. Louis Cardinals,0,,1,3.0,9,11.0,10.0,43.0,30.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.2,1.0,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.0,6.0,3.0,15.0,-2.3333333333333335
2026-07-23,2026,824903,2026-07-04,519242,Chris Sale,Atlanta Braves,Atlanta Braves,New York Mets,1,,1,5.0,15,24.0,21.0,98.0,67.0,3.0,2.0,0.0,7.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,1,0,0,0,2.27,1.8,0.125,0.08333333333333333,0.04166666666666667,3.6,12.6,3.6,5.4,5.8
2026-07-23,2026,823204,2026-06-28,519242,Chris Sale,Atlanta Braves,Atlanta Braves,San Francisco Giants,0,,1,6.0,18,26.0,25.0,94.0,68.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,1,0,0,2.1,1.5,0.38461538461538464,0.038461538461538464,0.34615384615384615,0.0,12.0,1.5,15.0,-2.8333333333333335
2026-07-23,2026,824909,2026-06-20,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Milwaukee Brewers,1,,1,5.2,17,23.0,21.0,101.0,66.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,2.14,1.0588235294117647,0.30434782608695654,0.043478260869565216,0.26086956521739135,0.0,7.941176470588235,1.588235294117647,11.117647058823529,-1.9411764705882353
2026-07-23,2026,824590,2026-06-10,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Chicago White Sox,0,,1,5.2,17,25.0,23.0,103.0,66.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0,1,0,0,2.3,1.2352941176470587,0.24,0.04,0.19999999999999998,0.0,9.529411764705882,1.588235294117647,9.529411764705882,-1.0588235294117647
2026-07-23,2026,824919,2026-06-04,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Toronto Blue Jays,1,,1,5.2,17,29.0,26.0,108.0,70.0,6.0,2.0,0.0,10.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0,1,0,0,2.23,2.1176470588235294,0.20689655172413793,0.06896551724137931,0.13793103448275862,0.0,15.88235294117647,3.176470588235294,9.529411764705882,-0.5294117647058824
2026-07-23,2026,824757,2026-05-28,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Boston Red Sox,0,,1,5.0,15,24.0,19.0,96.0,61.0,8.0,3.0,0.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1,0,0,0,2.01,1.8,0.3333333333333333,0.125,0.20833333333333331,0.0,10.8,5.4,14.4,-0.8
2026-07-23,2026,823866,2026-05-20,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Miami Marlins,0,,1,7.0,21,25.0,24.0,96.0,67.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,1.89,0.5714285714285714,0.32,0.0,0.32,0.0,5.142857142857143,0.0,10.285714285714286,-2.2857142857142856
2026-07-23,2026,824926,2026-05-14,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Chicago Cubs,1,,1,6.0,18,25.0,23.0,100.0,65.0,8.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1.96,1.1666666666666667,0.32,0.08,0.24,0.0,7.5,3.0,12.0,-1.6666666666666667
2026-07-23,2026,823957,2026-05-08,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Los Angeles Dodgers,0,,1,7.0,21,27.0,26.0,102.0,76.0,7.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0,1,0,0,2.2,0.7142857142857143,0.25925925925925924,0.0,0.25925925925925924,1.2857142857142858,6.428571428571429,0.0,9.0,0.2857142857142857
2026-07-23,2026,824365,2026-05-02,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Colorado Rockies,0,,1,7.0,21,27.0,24.0,102.0,70.0,11.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,2.14,0.8571428571428571,0.4074074074074074,0.1111111111111111,0.2962962962962963,0.0,3.857142857142857,3.857142857142857,14.142857142857142,-1.8571428571428572
2026-07-23,2026,824934,2026-04-26,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Philadelphia Phillies,1,,1,6.0,18,22.0,19.0,100.0,61.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,2.31,0.5,0.4090909090909091,0.09090909090909091,0.31818181818181823,0.0,1.5,3.0,13.5,-1.5
2026-07-23,2026,823474,2026-04-18,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Philadelphia Phillies,0,,1,7.0,21,26.0,25.0,101.0,73.0,7.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,2.79,0.8571428571428571,0.2692307692307692,0.038461538461538464,0.23076923076923075,1.2857142857142858,6.428571428571429,1.2857142857142858,9.0,0.2857142857142857
2026-07-23,2026,824938,2026-04-12,519242,Chris Sale,Atlanta Braves,Atlanta Braves,Cleveland Guardians,1,,1,6.0,18,26.0,25.0,97.0,68.0,6.0,1.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,3.27,1.5,0.23076923076923078,0.038461538461538464,0.19230769230769232,1.5,12.0,1.5,9.0,0.6666666666666666
