season,pitcher_id,pitcher_name,game_id,game_date,game_team,opponent,is_home,decision,games_started,innings,outs_recorded,batters_faced,at_bats_against,pitches_thrown,strikes,strikeouts,walks,intentional_walks,hits,doubles_allowed,triples_allowed,home_runs,runs,earned_runs,hit_batters,wild_pitches,wins,losses,saves,holds,era,whip,strikeout_rate_bf,walk_rate_bf,k_minus_bb_rate,home_runs_per_9,hits_per_9,walks_per_9,strikeouts_per_9,fip_component
2026,434378,Justin Verlander,825108,2026-03-30,Detroit Tigers,Arizona Diamondbacks,0,,1,3.2,11,19.0,17.0,80.0,53.0,1.0,2.0,0.0,6.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0,1,0,0,12.27,2.181818181818182,0.05263157894736842,0.10526315789473684,-0.05263157894736842,2.4545454545454546,14.727272727272728,4.909090909090909,2.4545454545454546,4.636363636363637
2026,453286,Max Scherzer,822836,2026-03-31,Toronto Blue Jays,Colorado Rockies,1,,1,6.0,18,22.0,21.0,83.0,56.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,1.5,0.8333333333333334,0.18181818181818182,0.045454545454545456,0.13636363636363635,1.5,6.0,1.5,6.0,1.3333333333333333
2026,453286,Max Scherzer,822832,2026-04-06,Toronto Blue Jays,Los Angeles Dodgers,1,,1,2.0,6,9.0,8.0,36.0,24.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0,1,0,0,3.38,1.5,0.2222222222222222,0.1111111111111111,0.1111111111111111,4.5,9.0,4.5,9.0,6.0
2026,453286,Max Scherzer,822828,2026-04-12,Toronto Blue Jays,Minnesota Twins,1,,1,2.1,7,15.0,11.0,68.0,41.0,3.0,2.0,0.0,5.0,0.0,0.0,2.0,8.0,8.0,1.0,0.0,0,1,0,0,9.58,3.0,0.2,0.13333333333333333,0.06666666666666668,7.7142857142857135,19.285714285714285,7.7142857142857135,11.571428571428571,12.428571428571427
2026,453286,Max Scherzer,825098,2026-04-18,Toronto Blue Jays,Arizona Diamondbacks,0,,1,6.0,18,22.0,21.0,74.0,50.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,0,7.16,1.0,0.045454545454545456,0.045454545454545456,0.0,0.0,7.5,1.5,1.5,0.16666666666666666
2026,453286,Max Scherzer,822827,2026-04-24,Toronto Blue Jays,Cleveland Guardians,1,,1,2.1,7,16.0,13.0,82.0,51.0,0.0,3.0,0.0,6.0,1.0,0.0,3.0,7.0,7.0,0.0,0.0,0,1,0,0,9.64,3.8571428571428568,0.0,0.1875,-0.1875,11.571428571428571,23.142857142857142,11.571428571428571,0.0,20.57142857142857
2026,453286,Max Scherzer,822804,2026-06-10,Toronto Blue Jays,Philadelphia Phillies,1,,1,3.1,10,18.0,15.0,82.0,51.0,4.0,3.0,0.0,5.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0,1,0,0,10.23,2.4,0.2222222222222222,0.16666666666666666,0.05555555555555555,5.3999999999999995,13.5,8.1,10.799999999999999,8.1
2026,500779,Jose Quintana,823891,2026-03-29,Colorado Rockies,Miami Marlins,0,,1,4.1,13,19.0,13.0,78.0,42.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,0,4.15,1.8461538461538463,0.10526315789473684,0.21052631578947367,-0.10526315789473684,0.0,8.307692307692308,8.307692307692308,4.153846153846154,1.8461538461538463
2026,500779,Jose Quintana,824209,2026-04-15,Colorado Rockies,Houston Astros,0,,1,3.2,11,18.0,12.0,75.0,41.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0,1,0,0,5.63,1.9090909090909092,0.05555555555555555,0.2222222222222222,-0.16666666666666666,2.4545454545454546,7.363636363636364,9.818181818181818,2.4545454545454546,6.272727272727273
2026,500779,Jose Quintana,824370,2026-04-20,Colorado Rockies,Los Angeles Dodgers,1,,1,5.0,15,25.0,24.0,90.0,52.0,1.0,1.0,0.0,8.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0,1,0,0,6.23,1.8,0.04,0.04,0.0,3.6,14.4,1.8,1.8,5.4
