date,game_id,team,opponent,side,pitcher_id,pitcher_name,status
2026-07-01,824818,Chicago White Sox,Baltimore Orioles,away,702273,Noah Schultz,Final
2026-07-01,824818,Baltimore Orioles,Chicago White Sox,home,665152,Dean Kremer,Final
2026-07-01,824419,Texas Rangers,Cleveland Guardians,away,669022,MacKenzie Gore,Final
2026-07-01,824419,Cleveland Guardians,Texas Rangers,home,676282,Joey Cantillo,Final
2026-07-01,824740,Washington Nationals,Boston Red Sox,away,695418,Brad Lord,Final
2026-07-01,824740,Boston Red Sox,Washington Nationals,home,801139,Payton Tolle,Final
2026-07-01,823530,Detroit Tigers,New York Yankees,away,675512,Troy Melton,Final
2026-07-01,823530,New York Yankees,Detroit Tigers,home,701542,Will Warren,Final
2026-07-01,824660,San Diego Padres,Chicago Cubs,away,621111,Walker Buehler,Final
2026-07-01,824660,Chicago Cubs,San Diego Padres,home,607067,Colin Rea,Final
2026-07-01,822791,New York Mets,Toronto Blue Jays,away,642547,Freddy Peralta,Final
2026-07-01,822791,Toronto Blue Jays,New York Mets,home,680755,Braydon Fisher,Final
2026-07-01,823446,Pittsburgh Pirates,Philadelphia Phillies,away,694973,Paul Skenes,Final
2026-07-01,823446,Philadelphia Phillies,Pittsburgh Pirates,home,554430,Zack Wheeler,Final
2026-07-01,824905,St. Louis Cardinals,Atlanta Braves,away,700241,Michael McGreevy,Final
2026-07-01,824905,Atlanta Braves,St. Louis Cardinals,home,625643,Reynaldo López,Final
2026-07-01,824094,Tampa Bay Rays,Kansas City Royals,away,663556,Shane McClanahan,Final
2026-07-01,824094,Kansas City Royals,Tampa Bay Rays,home,607625,Seth Lugo,Final
2026-07-01,824174,Minnesota Twins,Houston Astros,away,671737,Taj Bradley,Final
2026-07-01,824174,Houston Astros,Minnesota Twins,home,837227,Tatsuya Imai,Final
2026-07-01,823767,Cincinnati Reds,Milwaukee Brewers,away,671096,Andrew Abbott,Final
2026-07-01,823767,Milwaukee Brewers,Cincinnati Reds,home,675660,Shane Drohan,Final
2026-07-01,824337,Miami Marlins,Colorado Rockies,away,676974,Max Meyer,Final
2026-07-01,824337,Colorado Rockies,Miami Marlins,home,607536,Kyle Freeland,Final
2026-07-01,824985,Athletics,Los Angeles Dodgers,home,669372,J.T. Ginn,Final
2026-07-01,825064,San Francisco Giants,Arizona Diamondbacks,away,686790,Trevor McDonald,Final
2026-07-01,825064,Arizona Diamondbacks,San Francisco Giants,home,668678,Zac Gallen,Final
2026-07-02,823442,Pittsburgh Pirates,Philadelphia Phillies,away,683003,Jared Jones,Final
2026-07-02,823442,Philadelphia Phillies,Pittsburgh Pirates,home,660604,Alan Rangel,Final
2026-07-02,823765,Cincinnati Reds,Milwaukee Brewers,away,695505,Chase Burns,Final
2026-07-02,823765,Milwaukee Brewers,Cincinnati Reds,home,694819,Jacob Misiorowski,Final
2026-07-02,824335,Miami Marlins,Colorado Rockies,away,687473,Ryan Gusto,Final
2026-07-02,824335,Colorado Rockies,Miami Marlins,home,547179,Michael Lorenzen,Final
2026-07-02,824416,Chicago White Sox,Cleveland Guardians,away,663436,Davis Martin,Final
2026-07-02,824416,Cleveland Guardians,Chicago White Sox,home,677944,Slade Cecconi,Final
2026-07-02,824906,St. Louis Cardinals,Atlanta Braves,away,669160,Dustin May,Final
2026-07-02,824906,Atlanta Braves,St. Louis Cardinals,home,694462,Hurston Waldrep,Final
2026-07-02,824093,Tampa Bay Rays,Kansas City Royals,away,693855,Ian Seymour,Final
2026-07-02,824093,Kansas City Royals,Tampa Bay Rays,home,663568,Stephen Kolek,Final
2026-07-02,822884,Detroit Tigers,Texas Rangers,away,664285,Framber Valdez,Final
2026-07-02,822884,Texas Rangers,Detroit Tigers,home,543135,Nathan Eovaldi,Final
2026-07-02,823119,Los Angeles Angels,Seattle Mariners,away,700712,Walbert Ureña,Final
2026-07-02,823119,Seattle Mariners,Los Angeles Angels,home,682243,Bryce Miller,Final
2026-07-02,823935,San Diego Padres,Los Angeles Dodgers,away,681190,Randy Vásquez,Final
2026-07-02,823935,Los Angeles Dodgers,San Diego Padres,home,808963,Roki Sasaki,Final
2026-07-03,824659,St. Louis Cardinals,Chicago Cubs,away,669467,Andre Pallante,Final
2026-07-03,824659,Chicago Cubs,St. Louis Cardinals,home,656849,David Peterson,Final
2026-07-03,822714,Pittsburgh Pirates,Washington Nationals,away,656605,Mitch Keller,Final
2026-07-03,822714,Washington Nationals,Pittsburgh Pirates,home,656492,Foster Griffin,Final
