date,game_id,pitcher_id,pitcher_name,team,opponent,side,actual_strikeouts,actual_ip,actual_walks,actual_hits,actual_earned_runs
2026-07-01,824818,702273,Noah Schultz,Chicago White Sox,Baltimore Orioles,away,7,4.1,4,2,3
2026-07-01,824818,665152,Dean Kremer,Baltimore Orioles,Chicago White Sox,home,4,6.0,1,4,1
2026-07-01,824419,669022,MacKenzie Gore,Texas Rangers,Cleveland Guardians,away,7,5.0,1,7,5
2026-07-01,824419,676282,Joey Cantillo,Cleveland Guardians,Texas Rangers,home,4,5.0,5,3,2
2026-07-01,824740,695418,Brad Lord,Washington Nationals,Boston Red Sox,away,1,2.1,2,2,0
2026-07-01,824740,801139,Payton Tolle,Boston Red Sox,Washington Nationals,home,5,3.0,3,7,6
2026-07-01,823530,675512,Troy Melton,Detroit Tigers,New York Yankees,away,7,6.1,1,2,0
2026-07-01,823530,701542,Will Warren,New York Yankees,Detroit Tigers,home,7,5.1,0,5,2
2026-07-01,824660,621111,Walker Buehler,San Diego Padres,Chicago Cubs,away,6,4.0,4,7,9
2026-07-01,824660,607067,Colin Rea,Chicago Cubs,San Diego Padres,home,5,5.0,3,6,2
2026-07-01,822791,642547,Freddy Peralta,New York Mets,Toronto Blue Jays,away,4,4.0,3,7,5
2026-07-01,822791,680755,Braydon Fisher,Toronto Blue Jays,New York Mets,home,1,1.0,1,0,0
2026-07-01,823446,694973,Paul Skenes,Pittsburgh Pirates,Philadelphia Phillies,away,5,4.0,2,6,7
2026-07-01,823446,554430,Zack Wheeler,Philadelphia Phillies,Pittsburgh Pirates,home,10,4.2,1,9,4
2026-07-01,824905,700241,Michael McGreevy,St. Louis Cardinals,Atlanta Braves,away,3,6.0,1,3,2
2026-07-01,824905,625643,Reynaldo López,Atlanta Braves,St. Louis Cardinals,home,6,5.0,1,2,1
2026-07-01,824094,663556,Shane McClanahan,Tampa Bay Rays,Kansas City Royals,away,4,6.0,0,3,0
2026-07-01,824094,607625,Seth Lugo,Kansas City Royals,Tampa Bay Rays,home,7,6.0,0,9,3
2026-07-01,824174,671737,Taj Bradley,Minnesota Twins,Houston Astros,away,11,5.0,3,4,1
2026-07-01,824174,837227,Tatsuya Imai,Houston Astros,Minnesota Twins,home,2,1.1,5,4,5
2026-07-01,823767,671096,Andrew Abbott,Cincinnati Reds,Milwaukee Brewers,away,3,5.0,5,5,2
