date,season,player_id,player_name,team,opponent,batting_order,position,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,total_bases,avg,obp,slg,ops,hits_per_game,total_bases_per_game,runs_per_game,rbi_per_game,walks_per_game,strikeouts_per_game,home_runs_per_game,stolen_bases_per_game,walk_rate,strikeout_rate,home_run_rate
2026-07-14,2026,545361,Mike Trout,American League All-Stars,National League All-Stars,1,CF,78,354,283,67,13,0,18,58,39,67,87,7,0,134,0.237,0.39,0.473,0.863,0.8589743589743589,1.7179487179487178,0.7435897435897436,0.5,0.8589743589743589,1.1153846153846154,0.23076923076923078,0.08974358974358974,0.18926553672316385,0.2457627118644068,0.05084745762711865
2026-07-14,2026,670541,Yordan Alvarez,American League All-Stars,National League All-Stars,2,DH,96,420,349,111,17,0,31,65,70,63,72,1,0,221,0.318,0.426,0.633,1.059,1.15625,2.3020833333333335,0.6770833333333334,0.7291666666666666,0.65625,0.75,0.3229166666666667,0.010416666666666666,0.15,0.17142857142857143,0.07380952380952381
2026-07-14,2026,669127,Shea Langeliers,American League All-Stars,National League All-Stars,3,C,86,386,350,90,16,0,21,52,46,30,85,2,1,169,0.257,0.324,0.483,0.807,1.0465116279069768,1.9651162790697674,0.6046511627906976,0.5348837209302325,0.3488372093023256,0.9883720930232558,0.2441860465116279,0.023255813953488372,0.07772020725388601,0.22020725388601037,0.054404145077720206
2026-07-14,2026,691406,Junior Caminero,American League All-Stars,National League All-Stars,4,3B,94,411,355,99,14,0,28,61,59,53,78,2,2,197,0.279,0.372,0.555,0.927,1.053191489361702,2.095744680851064,0.648936170212766,0.6276595744680851,0.5638297872340425,0.8297872340425532,0.2978723404255319,0.02127659574468085,0.12895377128953772,0.1897810218978102,0.0681265206812652
2026-07-14,2026,677951,Bobby Witt Jr.,American League All-Stars,National League All-Stars,5,SS,91,403,360,103,22,1,13,51,39,39,69,30,5,166,0.286,0.355,0.461,0.816,1.1318681318681318,1.8241758241758241,0.5604395604395604,0.42857142857142855,0.42857142857142855,0.7582417582417582,0.14285714285714285,0.32967032967032966,0.0967741935483871,0.17121588089330025,0.03225806451612903
2026-07-14,2026,641355,Cody Bellinger,American League All-Stars,National League All-Stars,6,RF,94,403,347,88,19,3,11,49,51,51,60,10,5,146,0.254,0.345,0.421,0.766,0.9361702127659575,1.553191489361702,0.5212765957446809,0.5425531914893617,0.5425531914893617,0.6382978723404256,0.11702127659574468,0.10638297872340426,0.12655086848635236,0.1488833746898263,0.02729528535980149
2026-07-14,2026,700250,Ben Rice,American League All-Stars,National League All-Stars,7,1B,91,390,337,94,15,3,29,64,68,48,91,2,0,202,0.279,0.372,0.599,0.971,1.032967032967033,2.21978021978022,0.7032967032967034,0.7472527472527473,0.5274725274725275,1.0,0.31868131868131866,0.02197802197802198,0.12307692307692308,0.23333333333333334,0.07435897435897436
2026-07-14,2026,682985,Riley Greene,American League All-Stars,National League All-Stars,8,LF,95,400,344,99,19,1,13,48,45,51,108,2,1,159,0.288,0.38,0.462,0.842,1.0421052631578946,1.6736842105263159,0.5052631578947369,0.47368421052631576,0.5368421052631579,1.1368421052631579,0.1368421052631579,0.021052631578947368,0.1275,0.27,0.0325
2026-07-14,2026,676391,Ernie Clement,American League All-Stars,National League All-Stars,9,2B,93,374,358,106,23,1,8,42,32,13,35,3,1,155,0.296,0.318,0.433,0.751,1.1397849462365592,1.6666666666666667,0.45161290322580644,0.34408602150537637,0.13978494623655913,0.3763440860215054,0.08602150537634409,0.03225806451612903,0.034759358288770054,0.09358288770053476,0.0213903743315508
2026-07-14,2026,656941,Kyle Schwarber,National League All-Stars,American League All-Stars,1,DH,93,414,350,89,9,1,32,57,59,59,144,2,0,196,0.254,0.367,0.56,0.927,0.956989247311828,2.10752688172043,0.6129032258064516,0.6344086021505376,0.6344086021505376,1.5483870967741935,0.34408602150537637,0.021505376344086023,0.14251207729468598,0.34782608695652173,0.07729468599033816
