date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status,lineup_status,lineup_source,home_team,away_team,venue,game_datetime
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,650490,Yandy Díaz,1,DH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,666018,Jonathan Aranda,2,1B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,691406,Junior Caminero,3,3B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,656775,Cedric Mullins,4,CF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,802415,Chandler Simpson,5,LF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,683748,Victor Mesa Jr.,6,RF,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,810938,Ben Williamson,7,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,670764,Taylor Walls,8,SS,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Tampa Bay Rays,Toronto Blue Jays,away,663743,Nick Fortes,9,PH,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
2026-07-23,822785,Toronto Blue Jays,Tampa Bay Rays,home,676391,Ernie Clement,1,2B,Scheduled,PROJECTED,RECENT_CONFIRMED_LINEUPS,Toronto Blue Jays,Tampa Bay Rays,Rogers Centre,2026-07-23T19:07:00Z
