date,season,pitcher_id,pitcher_name,team,games,games_started,innings_pitched,era,whip,strikeouts,walks,hits_allowed,earned_runs,home_runs_allowed,batters_faced,wins,losses
2026-07-09,2026,693821,Bryce Elder,Atlanta Braves,18,18,102.2,4.12,1.25,86,32,96,47,15,435,5,6
2026-07-09,2026,656605,Mitch Keller,Pittsburgh Pirates,19,19,103.1,5.14,1.33,77,35,102,59,13,443,6,7
2026-07-09,2026,608379,Michael Wacha,Kansas City Royals,19,19,119.1,3.77,1.19,96,34,108,50,14,487,5,7
2026-07-09,2026,640455,Sean Manaea,New York Mets,20,6,75.0,4.56,1.32,74,24,75,38,10,329,2,4
2026-07-09,2026,621112,Paul Blackburn,New York Yankees,31,2,46.2,2.31,1.14,35,15,38,12,4,187,2,1
2026-07-09,2026,656876,Drew Rasmussen,Tampa Bay Rays,18,18,99.1,3.26,0.95,98,17,77,36,12,392,7,5
2026-07-09,2026,656849,David Peterson,Chicago Cubs,19,11,82.1,6.45,1.64,70,37,98,59,9,382,4,7
2026-07-09,2026,669432,Trevor Rogers,Baltimore Orioles,17,17,90.1,4.48,1.31,69,31,87,45,10,382,6,7
2026-07-09,2026,668909,Gavin Williams,Cleveland Guardians,19,19,113.1,3.81,1.15,134,37,93,48,17,460,10,4
2026-07-09,2026,641927,Bailey Ober,Minnesota Twins,13,13,71.2,4.40,1.19,51,19,66,35,13,300,6,3
2026-07-09,2026,663776,Patrick Sandoval,Boston Red Sox,1,1,4.1,2.08,1.38,5,1,5,1,0,19,0,0
2026-07-09,2026,641743,Anthony Kay,Chicago White Sox,19,17,89.1,4.23,1.38,71,35,88,42,12,403,6,4
2026-07-09,2026,660761,José Suarez,Athletics,30,2,48.2,4.44,1.52,54,22,52,24,3,215,1,2
2026-07-09,2026,664285,Framber Valdez,Detroit Tigers,19,19,107.2,4.10,1.32,87,36,106,49,11,469,5,6
2026-07-09,2026,682243,Bryce Miller,Seattle Mariners,10,9,57.2,2.18,0.83,65,9,39,14,8,215,4,3
2026-07-09,2026,676083,Janson Junk,Miami Marlins,12,12,65.0,4.57,1.31,48,17,68,33,9,276,4,5
2026-07-09,2026,666200,Jesús Luzardo,Philadelphia Phillies,19,19,110.1,3.51,1.22,136,35,100,43,9,463,8,4
2026-07-09,2026,663903,Brady Singer,Cincinnati Reds,18,18,89.2,4.72,1.47,76,31,101,47,20,402,3,9
2026-07-09,2026,701656,Logan Henderson,Milwaukee Brewers,6,6,28.1,3.18,0.99,34,7,21,10,2,111,3,1
2026-07-09,2026,669467,Andre Pallante,St. Louis Cardinals,18,18,100.0,3.96,1.26,72,29,97,44,10,423,10,6
2026-07-09,2026,672282,Reid Detmers,Los Angeles Angels,19,19,108.2,4.39,1.14,123,35,89,53,12,452,3,6
2026-07-09,2026,543135,Nathan Eovaldi,Texas Rangers,18,18,111.1,4.04,1.18,120,26,105,50,19,463,9,7
2026-07-09,2026,518876,Merrill Kelly,Arizona Diamondbacks,16,16,93.2,5.38,1.51,59,38,103,56,20,411,7,8
2026-07-09,2026,656288,Griffin Canning,San Diego Padres,13,10,55.2,6.47,1.60,55,30,59,40,8,247,1,7
2026-07-09,2026,663372,Ryan Feltner,Colorado Rockies,13,13,63.1,4.55,1.29,47,24,58,32,11,267,3,3
2026-07-09,2026,687931,Carson Whisenhunt,San Francisco Giants,2,2,10.2,3.38,1.41,6,6,9,4,1,46,2,0
