date,game_id,team,pitcher_id,pitcher_name,side
2026-07-12,823358,Milwaukee Brewers,688107,Robert Gasser,away
2026-07-12,823358,Pittsburgh Pirates,694973,Paul Skenes,home
2026-07-12,824814,Kansas City Royals,607625,Seth Lugo,away
2026-07-12,824814,Baltimore Orioles,669358,Shane Baz,home
2026-07-12,822708,New York Yankees,701542,Will Warren,away
2026-07-12,822708,Washington Nationals,676917,Cade Cavalli,home
2026-07-12,824491,Chicago Cubs,571510,Matthew Boyd,away
2026-07-12,824491,Cincinnati Reds,671096,Andrew Abbott,home
2026-07-12,823602,Boston Red Sox,801139,Payton Tolle,away
2026-07-12,823602,New York Mets,804267,Zach Thornton,home
2026-07-12,822951,Seattle Mariners,676106,Emerson Hancock,away
2026-07-12,822951,Tampa Bay Rays,693855,Ian Seymour,home
2026-07-12,824250,Philadelphia Phillies,554430,Zack Wheeler,away
2026-07-12,824250,Detroit Tigers,669373,Tarik Skubal,home
2026-07-12,823842,Cleveland Guardians,676282,Joey Cantillo,away
2026-07-12,823842,Miami Marlins,663969,Tyler Phillips,home
2026-07-12,823681,Los Angeles Angels,667755,José Soriano,away
2026-07-12,823681,Minnesota Twins,671737,Taj Bradley,home
2026-07-12,824574,Athletics,669372,J.T. Ginn,away
2026-07-12,824574,Chicago White Sox,702273,Noah Schultz,home
2026-07-12,823029,Atlanta Braves,664849,Danny Young,away
2026-07-12,823029,St. Louis Cardinals,669160,Dustin May,home
2026-07-12,822876,Houston Astros,664299,Cristian Javier,away
2026-07-12,822876,Texas Rangers,669022,MacKenzie Gore,home
2026-07-12,823199,Colorado Rockies,547179,Michael Lorenzen,away
2026-07-12,823199,San Francisco Giants,686790,Trevor McDonald,home
2026-07-12,823925,Arizona Diamondbacks,683352,Mitch Bratt,away
2026-07-12,823925,Los Angeles Dodgers,686218,Emmet Sheehan,home
2026-07-12,823274,Toronto Blue Jays,592332,Kevin Gausman,away
2026-07-12,823274,San Diego Padres,608566,Germán Márquez,home
