date,game_id,player_id,player_name,hits,total_bases,home_runs,runs,rbi
2026-07-09,823359,671739,Michael Harris II,1,1,0,1,0
2026-07-09,823359,643289,Mauricio Dubón,1,1,0,0,1
2026-07-09,823359,686948,Drake Baldwin,2,2,0,1,1
2026-07-09,823359,805347,Jim Jarvis,3,7,1,1,2
2026-07-09,823359,621566,Matt Olson,1,4,1,2,1
2026-07-09,823359,642086,Dominic Smith,1,1,0,1,0
2026-07-09,823359,645277,Ozzie Albies,1,2,0,2,1
2026-07-09,823359,663586,Austin Riley,0,0,0,0,0
2026-07-09,823359,573262,Mike Yastrzemski,1,4,1,2,4
2026-07-09,823359,664040,Brandon Lowe,0,0,0,0,0
2026-07-09,823359,668804,Bryan Reynolds,1,4,1,1,1
2026-07-09,823359,699013,Esmerlyn Valdez,1,4,1,1,1
2026-07-09,823359,669707,Jared Triolo,0,0,0,1,0
2026-07-09,823359,663968,Jake Mangum,4,8,1,1,3
2026-07-09,823359,682997,Tyler Callihan,1,2,0,0,0
2026-07-09,823359,656811,Ryan O'Hearn,0,0,0,0,0
2026-07-09,823359,693304,Nick Gonzales,0,0,0,1,0
2026-07-09,823359,804668,Rafael Flores Jr.,1,1,0,0,0
2026-07-09,823606,695600,Carter Jensen,0,0,0,0,0
2026-07-09,823606,686475,Tyler Tolbert,1,1,0,0,0
2026-07-09,823606,668942,Josh Rojas,0,0,0,0,0
2026-07-09,823606,686555,Isaac Collins,0,0,0,0,0
2026-07-09,823606,521692,Salvador Perez,0,0,0,0,0
2026-07-09,823606,679845,Nick Loftin,2,2,0,1,0
2026-07-09,823606,516782,Starling Marte,1,1,0,0,0
2026-07-09,823606,571912,Luke Maile,0,0,0,0,0
2026-07-09,823606,657041,Lane Thomas,1,4,1,1,1
2026-07-09,823606,695506,Jac Caglianone,1,2,0,0,1
2026-07-09,823606,677951,Bobby Witt Jr.,1,4,1,1,1
2026-07-09,823606,620443,Luis Torrens,0,0,0,0,0
2026-07-09,823606,666182,Bo Bichette,0,0,0,0,1
2026-07-09,823606,621438,Tyrone Taylor,2,6,1,1,1
2026-07-09,823606,682626,Francisco Alvarez,1,1,0,0,1
2026-07-09,823606,668901,Mark Vientos,0,0,0,0,0
2026-07-09,823606,683146,Brett Baty,1,1,0,1,0
2026-07-09,823606,701807,Carson Benge,2,2,0,2,1
2026-07-09,823606,596019,Francisco Lindor,0,0,0,0,0
2026-07-09,823606,665742,Juan Soto,1,4,1,2,1
2026-07-09,823606,676724,Jared Young,2,4,0,0,1
2026-07-09,823606,805999,A.J. Ewing,1,1,0,1,0
2026-07-09,822954,676609,José Caballero,1,1,0,0,1
2026-07-09,822954,680474,Max Schuemann,2,3,0,2,0
2026-07-09,822954,641857,Ryan McMahon,2,4,0,1,2
2026-07-09,822954,691176,Jasson Domínguez,2,2,0,1,0
2026-07-09,822954,669224,Austin Wells,1,4,1,2,1
2026-07-09,822954,700250,Ben Rice,2,8,2,3,5
2026-07-09,822954,641355,Cody Bellinger,2,2,0,1,1
2026-07-09,822954,665862,Jazz Chisholm Jr.,0,0,0,0,1
2026-07-09,822954,663757,Trent Grisham,2,3,0,2,1
2026-07-09,822954,670764,Taylor Walls,0,0,0,0,0
2026-07-09,822954,680700,Richie Palacios,0,0,0,0,0
2026-07-09,822954,668723,Ryan Vilade,0,0,0,0,0
2026-07-09,822954,802415,Chandler Simpson,2,6,0,1,0
2026-07-09,822954,676356,Jonny DeLuca,0,0,0,0,0
2026-07-09,822954,666018,Jonathan Aranda,2,2,0,0,0
2026-07-09,822954,663743,Nick Fortes,1,1,0,1,0
2026-07-09,822954,650490,Yandy Díaz,1,1,0,1,0
2026-07-09,822954,810938,Ben Williamson,2,2,0,0,1
2026-07-09,822954,683748,Victor Mesa Jr.,1,2,0,0,1
2026-07-09,822954,691406,Junior Caminero,1,4,1,1,1
