season,team_id,team,games,runs,hits,doubles,triples,home_runs,strikeouts,walks,avg,obp,slg,ops,team_k_per_game,runs_per_game,hits_per_game,walks_per_game
2026,119,Los Angeles Dodgers,94,498,836,158,9,124,736,383,.264,.346,.437,.783,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383
2026,134,Pittsburgh Pirates,94,492,857,148,10,120,882,356,.262,.340,.423,.763,9.382978723404255,5.23404255319149,9.117021276595745,3.7872340425531914
2026,139,Tampa Bay Rays,91,410,781,126,15,88,653,322,.258,.334,.396,.730,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383
2026,115,Colorado Rockies,94,457,822,174,19,107,822,298,.257,.328,.424,.752,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466
2026,158,Milwaukee Brewers,92,468,797,165,14,84,751,379,.255,.337,.397,.734,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305
2026,137,San Francisco Giants,92,377,801,172,21,101,718,222,.254,.307,.418,.725,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696
2026,146,Miami Marlins,93,426,786,160,23,94,753,318,.254,.330,.412,.742,8.096774193548388,4.580645161290323,8.451612903225806,3.4193548387096775
2026,120,Washington Nationals,94,508,809,161,18,132,777,324,.251,.325,.435,.760,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977
2026,144,Atlanta Braves,92,454,779,144,7,120,741,277,.249,.314,.414,.728,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391
2026,118,Kansas City Royals,94,405,783,172,10,95,756,307,.247,.318,.398,.716,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511
2026,142,Minnesota Twins,94,459,786,151,13,118,782,313,.247,.322,.414,.736,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534
2026,133,Athletics,92,419,775,143,7,115,805,334,.247,.325,.407,.732,8.75,4.554347826086956,8.423913043478262,3.630434782608696
2026,138,St. Louis Cardinals,91,416,748,127,9,104,702,292,.245,.321,.394,.715,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209
2026,112,Chicago Cubs,93,471,776,147,15,118,778,406,.244,.337,.412,.749,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462
2026,111,Boston Red Sox,91,372,743,160,16,81,750,272,.244,.314,.387,.701,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989
2026,141,Toronto Blue Jays,93,376,761,145,5,93,682,254,.244,.305,.383,.688,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245
2026,140,Texas Rangers,92,376,746,130,14,100,768,303,.243,.319,.392,.711,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654
2026,117,Houston Astros,95,432,770,147,7,126,778,312,.241,.315,.410,.725,8.189473684210526,4.5473684210526315,8.105263157894736,3.2842105263157895
2026,108,Los Angeles Angels,93,415,749,144,9,107,879,298,.239,.315,.393,.708,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817
2026,145,Chicago White Sox,92,430,735,132,7,125,824,312,.239,.318,.409,.727,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087
2026,110,Baltimore Orioles,94,428,744,143,12,109,853,362,.238,.320,.396,.716,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234
2026,143,Philadelphia Phillies,93,412,745,125,14,123,816,278,.238,.305,.404,.709,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957
2026,109,Arizona Diamondbacks,92,390,724,156,21,83,663,288,.237,.307,.383,.690,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696
2026,116,Detroit Tigers,92,391,724,137,18,108,799,333,.236,.315,.398,.713,8.684782608695652,4.25,7.869565217391305,3.619565217391304
2026,147,New York Yankees,93,448,725,139,13,135,842,356,.235,.316,.420,.736,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312
2026,121,New York Mets,94,394,742,116,12,110,772,290,.235,.304,.383,.687,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235
2026,136,Seattle Mariners,93,377,709,114,7,110,808,309,.230,.311,.379,.690,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905
2026,114,Cleveland Guardians,94,373,705,144,10,90,784,348,.228,.310,.369,.679,8.340425531914894,3.9680851063829787,7.5,3.702127659574468
2026,113,Cincinnati Reds,91,384,695,145,8,113,862,342,.228,.310,.392,.702,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758
2026,135,San Diego Padres,92,362,681,137,9,96,773,302,.226,.301,.373,.674,8.402173913043478,3.9347826086956523,7.4021739130434785,3.282608695652174
