platform,bets,wins,units,win_rate
Bet365,23,14,1.7524136784573217,60.87
BetMGM,51,27,-5.032027092632316,52.94
BetOnline.ag,5,1,-3.0,20.0
BetRivers,27,14,-1.4237846873696542,51.85
Betr,105,63,21.0,60.0
Bovada,5,0,-5.0,0.0
Caesars,14,10,4.454350948573781,71.43
DraftKings,47,24,-5.402765555813083,51.06
FanDuel,8,3,-1.4504347826086956,37.5
Fanatics,70,55,21.130794388466438,78.57
Hardrock,13,9,5.394372294372294,69.23
Novig,97,61,17.135949901813223,62.89
Parx,72,46,4.325547632649482,63.89
Pinnacle,122,56,-15.689065086956838,45.9
Prizepicks,666,509,352.0,76.43
Prophetx,271,153,173.20883410017885,56.46
Sleeper,14,4,-7.800455942573347,28.57
Underdog,90,52,49.5496239419095,57.78
