pitcher_name,team,opponent,game_id,date,raw_projected_ks,calibrated_projected_ks,projected_ks_lower_80,projected_ks_upper_80,projected_ks_residual_std,calibration_method,calibration_status,calibration_sample_size,validation_mae,validation_rmse,calibration_intercept,calibration_slope,side,games_started,strikeouts,season_k_per_start,avg_k,raw_model_projected_ks,baseline_projected_ks,model_blend_weight,feature_coverage,opponent_k_multiplier,workload_multiplier,model_baseline_disagreement,projection_source,projection_reliability_score,projection_confidence,model_name,model_feature_count,observed_model_features,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last3_avg_ks,last3_avg_ip,last5_avg_ks,last5_avg_ip
Brady Singer,Cincinnati Reds,Seattle Mariners,823110,2026-07-22,6.662,6.662,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,19.0,82.0,4.315789473684211,6.0,7.011,5.495,0.7,1.0,1.042,1.08,1.517,BLENDED_MODEL_HIGH_TRUST,84.4,HIGH,leakage_free_strikeout_model,15,15,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,5.666666666666667,6.366666666666667,6.0,6.04
Cade Cavalli,Washington Nationals,Colorado Rockies,824327,2026-07-22,6.307,6.307,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,21.0,119.0,5.666666666666667,7.4,5.474,6.88,0.7,1.0,1.048,1.042,1.406,BLENDED_MODEL_HIGH_TRUST,85.538,HIGH,leakage_free_strikeout_model,15,15,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,5.666666666666667,4.7,7.4,5.42
Griffin Jax,Tampa Bay Rays,Toronto Blue Jays,822784,2026-07-22,6.1,6.1,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,15.0,77.0,5.133333333333334,6.2,6.748,5.88,0.7,1.0,0.9,1.0,0.868,BLENDED_MODEL_HIGH_TRUST,91.068,HIGH,leakage_free_strikeout_model,15,15,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,6.333333333333333,5.0,6.2,5.2
Sandy Alcantara,Miami Marlins,Houston Astros,824166,2026-07-22,6.069,6.069,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,21.0,107.0,5.095238095238095,6.0,6.082,5.729,0.7,1.0,0.982,1.08,0.353,BLENDED_MODEL_HIGH_TRUST,96.366,HIGH,leakage_free_strikeout_model,15,15,8.189473684210526,4.547368421052632,8.105263157894736,3.284210526315789,0.241,0.315,0.41,0.725,7.666666666666667,7.0,6.0,6.48
Reid Detmers,Los Angeles Angels,St. Louis Cardinals,824004,2026-07-22,6.063,6.063,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,20.0,130.0,6.5,6.0,6.304,6.15,0.7,1.0,0.925,1.008,0.154,BLENDED_MODEL_HIGH_TRUST,98.414,HIGH,leakage_free_strikeout_model,15,15,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,6.0,5.0,6.0,5.24
Peter Lambert,Houston Astros,Miami Marlins,824166,2026-07-22,6.049,6.049,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,16.0,91.0,5.6875,6.6,5.86,6.326,0.7,1.0,0.971,1.023,0.467,BLENDED_MODEL_HIGH_TRUST,95.201,HIGH,leakage_free_strikeout_model,15,15,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,7.666666666666667,5.733333333333333,6.6,5.32
Gerrit Cole,New York Yankees,Pittsburgh Pirates,823518,2026-07-22,5.917,5.917,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,11.0,61.0,5.545454545454546,6.2,5.412,6.004,0.7,1.0,1.1,1.012,0.592,BLENDED_MODEL_HIGH_TRUST,93.91,HIGH,leakage_free_strikeout_model,15,15,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,7.0,5.7,6.2,5.26
Gage Jump,Athletics,Arizona Diamondbacks,825055,2026-07-22,5.756,5.756,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,10.0,56.0,5.6,6.0,6.468,5.88,0.7,1.0,0.9,0.92,0.588,BLENDED_MODEL_HIGH_TRUST,93.957,HIGH,leakage_free_strikeout_model,15,15,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,5.333333333333333,3.8,6.0,4.12
Hunter Dobbins,St. Louis Cardinals,Los Angeles Angels,824004,2026-07-22,5.546,5.546,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,3.0,23.0,7.666666666666667,4.6,5.564,5.52,0.0,1.0,1.1,0.92,0.044,RECENT_SEASON_FALLBACK,19.546,LOW,leakage_free_strikeout_model,15,15,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708,5.0,4.7,4.6,4.279999999999999
Aaron Nola,Philadelphia Phillies,Los Angeles Dodgers,823438,2026-07-22,5.532,5.532,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,20.0,108.0,5.4,6.2,5.28,5.96,0.7,1.0,0.939,1.042,0.68,BLENDED_MODEL_HIGH_TRUST,93.002,HIGH,leakage_free_strikeout_model,15,15,7.829787234042553,5.297872340425532,8.893617021276595,4.074468085106383,0.264,0.346,0.437,0.783,7.0,6.0,6.2,5.42
Kyle Bradish,Baltimore Orioles,Boston Red Sox,824732,2026-07-22,5.448,5.448,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,19.0,106.0,5.578947368421052,6.6,3.89,6.294,0.7,1.0,0.988,1.08,1.75,BLENDED_MODEL_HIGH_TRUST,82.0,HIGH,leakage_free_strikeout_model,15,15,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701,4.0,5.8,6.6,6.5200000000000005
Emerson Hancock,Seattle Mariners,Cincinnati Reds,823110,2026-07-22,5.361,5.361,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,18.0,94.0,5.222222222222222,4.2,5.985,4.507,0.7,1.0,1.1,0.92,1.479,BLENDED_MODEL_HIGH_TRUST,84.791,HIGH,leakage_free_strikeout_model,15,15,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,4.333333333333333,4.466666666666667,4.2,4.5
Seth Lugo,Kansas City Royals,San Francisco Giants,824083,2026-07-22,5.306,5.306,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,20.0,89.0,4.45,4.6,7.804,4.555,0.7,1.0,0.936,0.965,1.75,BLENDED_MODEL_HIGH_TRUST,82.0,HIGH,leakage_free_strikeout_model,15,15,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,4.333333333333333,4.7,4.6,5.0200000000000005
Gabriel Hughes,Colorado Rockies,Washington Nationals,824327,2026-07-22,5.173,5.173,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,2.0,14.0,7.0,4.6667,2.751,5.367,0.0,1.0,0.991,0.92,1.75,RECENT_SEASON_FALLBACK,2.0,LOW,leakage_free_strikeout_model,15,15,8.26595744680851,5.404255319148936,8.606382978723405,3.4468085106382977,0.251,0.325,0.435,0.76,4.666666666666667,4.7,4.666666666666667,4.7
Dean Kremer,Baltimore Orioles,Boston Red Sox,824735,2026-07-22,5.163,5.163,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,6.0,30.0,5.0,5.8,4.665,5.56,0.52,1.0,0.988,1.0,0.895,BLENDED_MODEL_CONSERVATIVE,76.794,MEDIUM,leakage_free_strikeout_model,15,15,8.241758241758241,4.087912087912088,8.164835164835164,2.989010989010989,0.244,0.314,0.387,0.701,4.333333333333333,5.0,5.8,5.2
Jake Bennett,Boston Red Sox,Baltimore Orioles,824735,2026-07-22,5.153,5.153,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,10.0,39.0,3.9,5.0,4.949,4.67,0.7,1.0,1.088,1.08,0.279,BLENDED_MODEL_HIGH_TRUST,97.126,HIGH,leakage_free_strikeout_model,15,15,9.074468085106384,4.553191489361702,7.914893617021277,3.851063829787234,0.238,0.32,0.396,0.716,4.333333333333333,6.733333333333333,5.0,6.459999999999999
Christian Scott,New York Mets,Milwaukee Brewers,823761,2026-07-22,5.122,5.122,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,13.0,72.0,5.538461538461538,6.2,4.808,6.002,0.7,1.0,0.979,0.92,1.194,BLENDED_MODEL_HIGH_TRUST,87.719,HIGH,leakage_free_strikeout_model,15,15,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,6.333333333333333,4.733333333333333,6.2,4.5
Max Fried,New York Yankees,Pittsburgh Pirates,823519,2026-07-22,4.964,4.964,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,10.0,50.0,5.0,5.4,4.14,5.28,0.7,1.0,1.1,1.08,1.14,BLENDED_MODEL_HIGH_TRUST,88.27,HIGH,leakage_free_strikeout_model,15,15,9.382978723404255,5.23404255319149,9.117021276595745,3.787234042553192,0.262,0.34,0.423,0.763,4.333333333333333,4.7,5.4,5.62
Bubba Chandler,Pittsburgh Pirates,New York Yankees,823519,2026-07-22,4.896,4.896,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,18.0,85.0,4.722222222222222,3.4,5.709,3.797,0.7,1.0,1.086,0.977,1.75,BLENDED_MODEL_HIGH_TRUST,82.0,HIGH,leakage_free_strikeout_model,15,15,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,4.0,4.766666666666667,3.4,5.08
Mitch Keller,Pittsburgh Pirates,New York Yankees,823518,2026-07-22,4.816,4.816,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,20.0,80.0,4.0,3.8,5.263,3.86,0.7,1.0,1.086,1.004,1.403,BLENDED_MODEL_HIGH_TRUST,85.565,HIGH,leakage_free_strikeout_model,15,15,9.053763440860216,4.817204301075269,7.795698924731183,3.827956989247312,0.235,0.316,0.42,0.736,2.6666666666666665,5.0,3.8,5.220000000000001
Bailey Ober,Minnesota Twins,Cleveland Guardians,824408,2026-07-22,4.628,4.628,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,14.0,58.0,4.142857142857143,3.8,5.433,3.903,0.7,1.0,1.0,0.935,1.531,BLENDED_MODEL_HIGH_TRUST,84.258,HIGH,leakage_free_strikeout_model,15,15,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,5.0,4.766666666666667,3.8,4.86
Eric Lauer,Los Angeles Dodgers,Philadelphia Phillies,823438,2026-07-22,4.596,4.596,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,12.0,47.0,3.9166666666666665,3.2,5.092,3.415,0.7,1.0,1.052,1.08,1.677,BLENDED_MODEL_HIGH_TRUST,82.753,HIGH,leakage_free_strikeout_model,15,15,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,2.333333333333333,6.0,3.2,5.84
Logan Henderson,Milwaukee Brewers,New York Mets,823761,2026-07-22,4.591,4.591,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,7.0,38.0,5.428571428571429,5.4,2.758,5.409,0.52,1.0,0.985,0.965,1.75,BLENDED_MODEL_CONSERVATIVE,71.5,MEDIUM,leakage_free_strikeout_model,15,15,8.212765957446809,4.191489361702128,7.8936170212765955,3.0851063829787235,0.235,0.304,0.383,0.687,5.0,5.033333333333333,5.4,5.0200000000000005
Merrill Kelly,Arizona Diamondbacks,Athletics,825055,2026-07-22,4.438,4.438,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,17.0,62.0,3.647058823529412,4.0,4.471,3.894,0.7,1.0,1.049,1.08,0.576,BLENDED_MODEL_HIGH_TRUST,94.071,HIGH,leakage_free_strikeout_model,15,15,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732,5.0,5.666666666666667,4.0,5.8
Michael King,San Diego Padres,Atlanta Braves,824896,2026-07-22,4.387,4.387,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,20.0,96.0,4.8,4.6,4.044,4.66,0.7,1.0,0.966,1.08,0.616,BLENDED_MODEL_HIGH_TRUST,93.661,HIGH,leakage_free_strikeout_model,15,15,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,4.333333333333333,5.666666666666667,4.6,5.62
Tyler Alexander,Texas Rangers,Chicago White Sox,822873,2026-07-22,4.339,4.339,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,3.0,38.0,12.666666666666666,0.8,2.669,4.36,0.0,1.0,1.074,0.92,1.691,RECENT_SEASON_FALLBACK,2.609,LOW,leakage_free_strikeout_model,15,15,8.956521739130435,4.673913043478261,7.989130434782608,3.391304347826087,0.239,0.318,0.409,0.727,0.6666666666666666,0.7333333333333334,0.8,0.66
Landen Roupp,San Francisco Giants,Kansas City Royals,824083,2026-07-22,4.336,4.336,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,19.0,106.0,5.578947368421052,4.8,3.668,5.034,0.7,1.0,0.964,1.08,1.365,BLENDED_MODEL_HIGH_TRUST,85.955,HIGH,leakage_free_strikeout_model,15,15,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,3.6666666666666665,5.733333333333333,4.8,5.84
Colin Rea,Chicago Cubs,Detroit Tigers,824650,2026-07-22,4.263,4.263,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,16.0,76.0,4.75,4.0,4.147,4.225,0.7,1.0,1.041,1.008,0.078,BLENDED_MODEL_HIGH_TRUST,99.197,HIGH,leakage_free_strikeout_model,15,15,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,4.333333333333333,5.366666666666667,4.0,5.24
Slade Cecconi,Cleveland Guardians,Minnesota Twins,824408,2026-07-22,3.669,3.669,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,19.0,77.0,4.052631578947368,3.2,3.906,3.456,0.7,1.0,0.997,0.977,0.45,BLENDED_MODEL_HIGH_TRUST,95.372,HIGH,leakage_free_strikeout_model,15,15,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,3.6666666666666665,4.733333333333333,3.2,5.08
Martín Pérez,Atlanta Braves,San Diego Padres,824896,2026-07-22,3.572,3.572,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,14.0,62.0,4.428571428571429,3.0,3.854,3.429,0.7,1.0,1.007,0.931,0.426,BLENDED_MODEL_HIGH_TRUST,95.623,HIGH,leakage_free_strikeout_model,15,15,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,2.0,4.366666666666666,3.0,4.84
Braydon Fisher,Toronto Blue Jays,Tampa Bay Rays,822784,2026-07-22,3.237,3.237,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,home,6.0,50.0,8.333333333333334,1.4,3.499,3.48,0.52,1.0,0.9,0.92,0.019,BLENDED_MODEL_CONSERVATIVE,85.8,HIGH,leakage_free_strikeout_model,15,15,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,0.6666666666666666,0.4666666666666666,1.4,0.6799999999999999
Anthony Kay,Chicago White Sox,Texas Rangers,822873,2026-07-22,3.206,3.206,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,18.0,76.0,4.222222222222222,4.2,2.598,4.207,0.7,1.0,1.001,0.92,1.609,BLENDED_MODEL_HIGH_TRUST,83.452,HIGH,leakage_free_strikeout_model,15,15,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,3.6666666666666665,4.366666666666666,4.2,4.46
Keider Montero,Detroit Tigers,Chicago Cubs,824650,2026-07-22,2.822,2.822,,,,range_clip_only,UNCALIBRATED,0,,,0.0,1.0,away,15.0,70.0,4.666666666666667,2.8,2.556,3.36,0.7,1.0,1.003,0.92,0.804,BLENDED_MODEL_HIGH_TRUST,91.733,HIGH,leakage_free_strikeout_model,15,15,8.365591397849462,5.064516129032258,8.344086021505376,4.365591397849462,0.244,0.337,0.412,0.749,3.6666666666666665,2.4333333333333336,2.8,2.46
