feature,importance,importance_rank
season_avg_at_bats,0.025576276704669,1
last20_plate_appearances_avg,0.023096594959497452,2
season_avg_plate_appearances,0.021974794566631317,3
last20_at_bats_median,0.007992912083864212,4
expected_fantasy_from_opportunity,0.007208134979009628,5
season_avg_hits,0.006183406338095665,6
season_avg_fantasy_score,0.005436884239315987,7
expected_at_bats,0.005216445308178663,8
expected_plate_appearances,0.005182353779673576,9
trend_last10_vs_season_hits,0.005135114770382643,10
last10_at_bats_avg,0.005055973771959543,11
season_avg_total_bases,0.004934275522828102,12
season_std_singles,0.004908415954560041,13
last10_hits_coefficient_variation,0.004896099213510752,14
previous_game_rbi,0.004894780460745096,15
last20_at_bats_avg,0.004797553177922964,16
last20_fantasy_score_avg,0.004753483459353447,17
last10_hits_per_ab,0.004744660574942827,18
opponent_pitcher_season_std_walks,0.004622668027877808,19
season_std_strikeouts,0.004359949845820665,20
season_std_triples,0.004263481590896845,21
last20_plate_appearances_median,0.00418506097048521,22
season_strikeouts_per_pa,0.004134072922170162,23
season_avg_hits_runs_rbis,0.004035781603306532,24
last10_strikeouts_avg,0.004035755526274443,25
last10_fantasy_score_max,0.0039609093219041824,26
last3_strikeouts_max,0.0037740764673799276,27
last20_hits_runs_rbis_per_pa,0.003703938564285636,28
last20_home_runs_per_ab,0.00369341135956347,29
last10_home_runs_median,0.003631059778854251,30
last5_doubles_per_ab,0.003626966616138816,31
last10_strikeouts_per_pa,0.0035701924934983253,32
last5_triples_per_pa,0.003560603130608797,33
season_std_walks,0.0035468561109155416,34
opponent_pitcher_last5_avg_k_minus_bb_rate,0.003534136340022087,35
opponent_pitcher_last5_avg_walks_per_9,0.0034855487756431103,36
last3_hits_per_pa,0.0034843424800783396,37
season_avg_singles,0.0034582740627229214,38
last10_at_bats_median,0.003403560956940055,39
last3_plate_appearances_avg,0.003398948349058628,40
last3_walks_std,0.00338764232583344,41
season_avg_home_runs,0.003365108510479331,42
last20_hits_std,0.0033565815538167953,43
opponent_pitcher_last10_avg_walk_rate_bf,0.0033377513755112886,44
season_runs_per_pa,0.0033346170093864202,45
last20_hits_avg,0.0033195794094353914,46
season_std_rbi,0.0033184695057570934,47
last10_fantasy_score_avg,0.003318363567814231,48
last20_total_bases_std,0.003313607769086957,49
opponent_pitcher_last5_avg_era,0.0033091779332607985,50
last3_plate_appearances_max,0.0033089735079556704,51
season_std_stolen_bases,0.0033005804289132357,52
opponent_pitcher_last5_avg_walk_rate_bf,0.0032935701310634613,53
season_avg_strikeouts,0.00327894720248878,54
last20_doubles_per_pa,0.003277362324297428,55
last5_rbi_avg,0.0032708041835576296,56
last10_runs_std,0.003269277513027191,57
season_std_total_bases,0.0032653009984642267,58
last20_strikeouts_avg,0.003264893312007189,59
last3_total_bases_avg,0.0032581163104623556,60
trend_last5_vs_last20_triples,0.003256593830883503,61
last20_triples_per_pa,0.0032525735441595316,62
last3_hits_std,0.0032487015705555677,63
last3_triples_per_pa,0.003234173869714141,64
last3_singles_per_ab,0.0032331973779946566,65
trend_last10_vs_season_total_bases,0.003233192954212427,66
last20_total_bases_max,0.003231172217056155,67
season_avg_hit_by_pitch,0.0032281370367854834,68
season_std_hits_runs_rbis,0.0032220857683569193,69
previous_game_fantasy_score,0.003214258002117276,70
last20_doubles_per_ab,0.0032080288510769606,71
season_std_runs,0.003178168321028352,72
opponent_pitcher_last3_avg_walks,0.0031597588676959276,73
opponent_pitcher_season_std_batters_faced,0.0031451655086129904,74
last20_total_bases_avg,0.003114901250228286,75
last10_fantasy_score_median,0.0031085419468581676,76
last10_hit_by_pitch_std,0.0030996687710285187,77
last20_doubles_std,0.003092719241976738,78
season_total_bases_per_pa,0.0030919411219656467,79
season_hits_runs_rbis_per_pa,0.003086629556491971,80
season_avg_walks,0.0030803570989519358,81
last3_hit_by_pitch_per_pa,0.0030591462273150682,82
last10_hits_per_pa,0.0030428648460656404,83
last10_hits_runs_rbis_per_pa,0.0030373288318514824,84
last10_plate_appearances_median,0.0030372024048119783,85
opponent_pitcher_last10_avg_hits,0.003031910164281726,86
opponent_pitcher_last10_avg_walks,0.0030312214512377977,87
season_avg_stolen_bases,0.003022322431206703,88
last5_walks_median,0.003018045099452138,89
trend_last10_vs_season_hits_runs_rbis,0.0030118555296212435,90
opponent_pitcher_last3_avg_home_runs,0.0029954107012599707,91
previous_game_plate_appearances,0.0029851107392460108,92
last20_fantasy_score_max,0.00298164039850235,93
trend_last10_vs_season_runs,0.002981192898005247,94
opponent_pitcher_last10_avg_batters_faced,0.0029762485064566135,95
last10_walks_std,0.002972577465698123,96
opponent_pitcher_season_std_outs_recorded,0.002961502643302083,97
opponent_pitcher_season_avg_earned_runs,0.002951656933873892,98
last5_singles_per_pa,0.0029330989345908165,99
last5_total_bases_coefficient_variation,0.002926993416622281,100
trend_last3_vs_last10_walks,0.002922710496932268,101
trend_last5_vs_last20_total_bases,0.0029183176811784506,102
opponent_pitcher_last3_avg_earned_runs,0.0029154294170439243,103
season_avg_runs,0.0029129197355359793,104
last20_hits_runs_rbis_std,0.0029056838247925043,105
last5_home_runs_per_pa,0.0029032472521066666,106
last10_hit_by_pitch_max,0.0029020297806710005,107
season_avg_doubles,0.0028974071610718966,108
last20_walks_std,0.002888048067688942,109
last3_total_bases_std,0.0028802065644413233,110
trend_last3_vs_last10_home_runs,0.0028639817610383034,111
last10_runs_per_pa,0.0028619638178497553,112
opponent_pitcher_season_std_fip_component,0.002845822600647807,113
opponent_pitcher_last10_avg_k_minus_bb_rate,0.002838598331436515,114
last10_rbi_per_pa,0.00283705722540617,115
trend_last3_vs_last10_strikeouts,0.0028351619839668274,116
last20_fantasy_score_std,0.0028338085394352674,117
last3_doubles_per_ab,0.0028191430028527975,118
last10_total_bases_avg,0.0028154863975942135,119
trend_last10_vs_season_home_runs,0.0028131031431257725,120
season_std_doubles,0.0028124696109443903,121
season_std_fantasy_score,0.0028084779623895884,122
opponent_pitcher_last3_avg_whip,0.0028075443115085363,123
opponent_split_avg_total_bases,0.0028050506953150034,124
season_avg_triples,0.002804047428071499,125
opponent_pitcher_last3_avg_hits,0.002800815971568227,126
season_singles_per_pa,0.002799812937155366,127
opponent_pitcher_season_avg_home_runs,0.0027973484247922897,128
last5_singles_per_ab,0.002779926871880889,129
opponent_pitcher_season_std_whip,0.0027634110301733017,130
last10_plate_appearances_avg,0.0027602228801697493,131
last10_rbi_std,0.0027585187926888466,132
season_fantasy_score_per_pa,0.0027582624461501837,133
trend_last3_vs_last10_singles,0.00275445100851357,134
trend_last10_vs_season_fantasy_score,0.0027508335188031197,135
last5_plate_appearances_std,0.0027481145225465298,136
last3_hits_runs_rbis_std,0.0027441149577498436,137
trend_last5_vs_last20_walks,0.0027322617825120687,138
last10_total_bases_std,0.00272941030561924,139
last5_hit_by_pitch_avg,0.0027273527812212706,140
trend_last3_vs_last10_hits,0.0027217536699026823,141
last20_runs_avg,0.0027140371967107058,142
last20_rbi_per_pa,0.002710789442062378,143
last3_singles_per_pa,0.0027099675498902798,144
last5_fantasy_score_coefficient_variation,0.0027098471764475107,145
opponent_pitcher_id,0.002703622682020068,146
last3_fantasy_score_min,0.0027035092934966087,147
last20_singles_per_ab,0.002698414260521531,148
last20_doubles_avg,0.0026970868930220604,149
last3_doubles_avg,0.0026858604978770018,150
trend_last3_vs_last10_fantasy_score,0.0026705963537096977,151
prior_games,0.002665633335709572,152
opponent_pitcher_last10_avg_earned_runs,0.0026565256994217634,153
trend_last3_vs_last10_at_bats,0.002640528604388237,154
last10_hits_runs_rbis_std,0.002639276208356023,155
last20_singles_std,0.002635916229337454,156
last20_walks_avg,0.0026302917394787073,157
trend_last10_vs_season_doubles,0.002629584865644574,158
last10_hit_by_pitch_per_pa,0.0026169130578637123,159
last3_total_bases_per_ab,0.002614286495372653,160
opponent_pitcher_last10_avg_home_runs,0.0026103854179382324,161
last10_strikeouts_per_ab,0.002603852888569236,162
trend_last5_vs_last20_home_runs,0.002586931688711047,163
last20_hits_runs_rbis_max,0.0025802114978432655,164
last20_total_bases_per_ab,0.0025677939411252737,165
last10_total_bases_coefficient_variation,0.0025653927586972713,166
last20_strikeouts_per_ab,0.002559116343036294,167
season_hit_by_pitch_per_pa,0.0025560250505805016,168
last20_at_bats_std,0.0025540594942867756,169
last20_strikeouts_std,0.0025528359692543745,170
last5_singles_std,0.0025495083536952734,171
trend_last10_vs_season_strikeouts,0.0025450107641518116,172
last5_hits_per_ab,0.002541805151849985,173
trend_last5_vs_last20_singles,0.0025389129295945168,174
last5_rbi_per_pa,0.0025367119815200567,175
last20_total_bases_coefficient_variation,0.0025356330443173647,176
last3_runs_coefficient_variation,0.0025353096425533295,177
caught_stealing,0.0025322018191218376,178
opponent_pitcher_last5_avg_strikeouts_per_9,0.0025293887592852116,179
last5_hit_by_pitch_per_pa,0.0025270385667681694,180
last20_home_runs_avg,0.0025167532730847597,181
last10_walks_per_pa,0.0025093024596571922,182
last10_rbi_coefficient_variation,0.002507223980501294,183
trend_last3_vs_last10_hits_runs_rbis,0.0025046016089618206,184
last5_at_bats_avg,0.0025025135837495327,185
