feature,importance,importance_rank
caught_stealing,0.02705818947156874,1
last20_at_bats_avg,0.017798690776741056,2
last20_at_bats_median,0.01674996015235177,3
season_avg_at_bats,0.01565919367560663,4
season_avg_plate_appearances,0.01448330345696458,5
last20_plate_appearances_avg,0.01437108719073712,6
last10_at_bats_median,0.013066846778798451,7
last10_plate_appearances_avg,0.012417967079779865,8
expected_plate_appearances,0.010348092296844582,9
last10_at_bats_avg,0.010219035658127007,10
last20_plate_appearances_median,0.009967717869102681,11
expected_at_bats,0.009636368140167427,12
last10_plate_appearances_median,0.00673312224657602,13
season_avg_hits_runs_rbis,0.005424662545670311,14
last5_plate_appearances_median,0.005411443800928249,15
last5_plate_appearances_avg,0.004708256205465888,16
season_avg_hits,0.0044152101572785185,17
last5_at_bats_avg,0.004039332328329495,18
day_of_week,0.0038560943506420514,19
expected_hits_from_opportunity,0.003506361215531001,20
last5_at_bats_median,0.003458842469546922,21
season_avg_fantasy_score,0.003323780876181006,22
opponent_split_avg_plate_appearances,0.003145436900531935,23
last10_plate_appearances_min,0.0030745606246573355,24
last20_hits_runs_rbis_avg,0.003016138862216756,25
is_back_to_back,0.002925143869571228,26
prior_games,0.0028779290585010586,27
previous_game_at_bats,0.0028567160313779125,28
expected_hits_runs_rbis_from_opportunity,0.0028018671850613894,29
last3_at_bats_median,0.0027664700254569014,30
season_std_plate_appearances,0.002755791314258275,31
opponent_split_avg_hits,0.002748912533172594,32
last5_runs_coefficient_variation,0.0027370367858526802,33
last20_strikeouts_per_pa,0.0027305869744322572,34
last3_fantasy_score_coefficient_variation,0.0026474765304480034,35
last5_rbi_coefficient_variation,0.002641225556916236,36
last10_at_bats_std,0.0026197814521724118,37
last20_singles_max,0.0025784574278433204,38
previous_game_plate_appearances,0.0025392998121210554,39
trend_last3_vs_last10_singles,0.002537228737040777,40
last20_hits_avg,0.0025268587609296863,41
last20_strikeouts_per_ab,0.002524746929218199,42
last3_at_bats_std,0.002520722401287088,43
last10_at_bats_min,0.002478722397100712,44
last3_at_bats_min,0.0024581944406669074,45
trend_last10_vs_season_hits,0.00243772002479869,46
trend_last10_vs_season_plate_appearances,0.0024359142472948686,47
trend_last10_vs_season_doubles,0.0024268204548144228,48
previous_game_strikeouts,0.0023970177393315677,49
last3_runs_coefficient_variation,0.0023852188714949185,50
trend_last3_vs_last10_runs,0.002369993683507436,51
last20_singles_median,0.002323974312220071,52
month,0.00232240005183379,53
trend_last3_vs_last10_at_bats,0.002315008314877226,54
last20_at_bats_max,0.0023051140274872478,55
opponent_pitcher_id,0.0022974296163520047,56
last5_strikeouts_per_ab,0.0022965781737770974,57
trend_last5_vs_last20_strikeouts,0.0022858169990257553,58
last3_hits_runs_rbis_coefficient_variation,0.0022822266665071403,59
last10_rbi_coefficient_variation,0.0022816608838685435,60
trend_last3_vs_last10_hits,0.002280790880680053,61
trend_last5_vs_last20_walks,0.0022713391462883758,62
last5_strikeouts_per_pa,0.0022648991922329664,63
trend_last10_vs_season_walks,0.002263690707281272,64
last20_strikeouts_median,0.002248337241525474,65
trend_last10_vs_season_strikeouts,0.0022430902362974145,66
trend_last5_vs_last20_singles,0.0022423892232598937,67
last20_doubles_std,0.002226594645008385,68
last3_strikeouts_min,0.0022088987152765562,69
last5_at_bats_std,0.0022028755988091303,70
last20_rbi_coefficient_variation,0.0021795677194320034,71
trend_last3_vs_last10_plate_appearances,0.002179251166929758,72
last5_at_bats_min,0.0021761034064574705,73
last5_plate_appearances_min,0.0021693910894461377,74
previous_game_fantasy_score,0.0021637067825372794,75
trend_last5_vs_last20_plate_appearances,0.002158625098018984,76
previous_game_singles,0.002154061052646846,77
last10_plate_appearances_std,0.0021489238746313253,78
last3_plate_appearances_std,0.0021173180500310205,79
season_std_at_bats,0.0021161917719222803,80
last20_singles_std,0.0021155184793468862,81
last3_strikeouts_per_pa,0.002113824779457309,82
last5_plate_appearances_std,0.002110968726343131,83
trend_last10_vs_season_at_bats,0.002106621664596344,84
last10_hits_max,0.002104775898040846,85
last20_walks_avg,0.0021038208065024527,86
last3_rbi_coefficient_variation,0.0021023754314768604,87
last3_strikeouts_per_ab,0.002096140282273239,88
trend_last3_vs_last10_walks,0.0020941719581600393,89
last20_hits_runs_rbis_median,0.002091772010703175,90
previous_game_hits_runs_rbis,0.0020838397650548273,91
last3_total_bases_coefficient_variation,0.0020804450095761344,92
opponent_split_avg_runs,0.0020764264166953147,93
trend_last10_vs_season_hit_by_pitch,0.0020652535917652396,94
last10_strikeouts_per_ab,0.0020639785270787766,95
last20_doubles_avg,0.002057751993007984,96
last20_hits_max,0.002056268488636231,97
opponent_split_avg_hits_runs_rbis,0.0020558756122481337,98
trend_last5_vs_last20_doubles,0.0020555026596186985,99
last3_hits_coefficient_variation,0.002050319064431335,100
trend_last10_vs_season_rbi,0.0020441296725435382,101
last5_fantasy_score_median,0.0020418213976952137,102
season_walks_per_pa,0.0020389425926790705,103
trend_last5_vs_last20_runs,0.002022267754423288,104
last3_strikeouts_std,0.0020158761211228077,105
previous_game_hits,0.002013839246786844,106
last20_walks_per_pa,0.002011856630213169,107
last20_fantasy_score_coefficient_variation,0.0020013539523174107,108
last20_strikeouts_avg,0.0019992650030387425,109
last10_strikeouts_avg,0.001984585242264708,110
last5_strikeouts_avg,0.001983263651189437,111
trend_last5_vs_last20_at_bats,0.001979401621058584,112
last10_strikeouts_median,0.001977572669937953,113
expected_fantasy_from_opportunity,0.0019749648005470007,114
season_std_strikeouts,0.001974298339248066,115
season_avg_strikeouts,0.0019718270659539456,116
trend_last5_vs_last20_rbi,0.001971198908413663,117
season_strikeouts_per_pa,0.0019668527503730834,118
last5_walks_std,0.001955756202922665,119
season_avg_doubles,0.0019556151145578692,120
trend_last3_vs_last10_fantasy_score,0.0019525209743758687,121
trend_last10_vs_season_singles,0.0019405330534368991,122
last10_runs_coefficient_variation,0.0019368123595102876,123
last20_rbi_max,0.0019352040834050286,124
last10_hits_runs_rbis_coefficient_variation,0.001934399104620687,125
last20_hits_std,0.0019233559436742434,126
season_avg_singles,0.0019200644585262994,127
last10_doubles_avg,0.0019135829435121673,128
last10_total_bases_coefficient_variation,0.0019128609405476749,129
last3_at_bats_avg,0.001911908353830786,130
trend_last5_vs_last20_hits,0.0019026984357457856,131
last20_plate_appearances_std,0.0019019368384533691,132
trend_last3_vs_last10_strikeouts,0.0018992334408532738,133
is_short_rest,0.0018924329505006908,134
last20_fantasy_score_median,0.0018841474339579992,135
opponent_split_avg_total_bases,0.0018838643573316158,136
last5_hits_runs_rbis_coefficient_variation,0.0018760982464635337,137
trend_last3_vs_last10_hits_runs_rbis,0.0018754240631902108,138
trend_last3_vs_last10_doubles,0.001868883932073118,139
last20_strikeouts_max,0.001865995101768959,140
last10_singles_avg,0.0018637351111669962,141
last10_singles_per_pa,0.0018592906776155743,142
last10_strikeouts_per_pa,0.0018564129120865929,143
last20_doubles_per_ab,0.0018537538630388206,144
last10_hits_std,0.0018507703496087112,145
last5_strikeouts_max,0.0018485023788972373,146
last5_total_bases_coefficient_variation,0.0018474041540900183,147
trend_last10_vs_season_stolen_bases,0.0018408372264169738,148
