feature,importance,importance_rank
expected_plate_appearances,0.04759779608155701,1
expected_at_bats,0.041290144920957145,2
season_avg_hits_runs_rbis,0.02046775855165999,3
expected_hits_runs_rbis_from_opportunity,0.01765386330941998,4
last20_hits_runs_rbis_avg,0.015544355414322114,5
last20_hits_runs_rbis_median,0.011771452919483758,6
last5_plate_appearances_std,0.011368266645805203,7
last10_hits_avg,0.010587415310331543,8
is_back_to_back,0.010259142255121225,9
previous_game_hits_runs_rbis,0.010227444348073756,10
season_std_hits_runs_rbis,0.010023632463108403,11
last3_hits_runs_rbis_coefficient_variation,0.009943618742823396,12
last20_hits_coefficient_variation,0.009909493163180207,13
opponent_split_avg_hits_runs_rbis,0.009864060761646849,14
last10_rbi_coefficient_variation,0.009605442201885353,15
trend_last5_vs_last20_plate_appearances,0.009571890659445281,16
trend_last10_vs_season_plate_appearances,0.009508883009776738,17
last5_rbi_coefficient_variation,0.009481633320485829,18
last5_runs_coefficient_variation,0.009267270160166341,19
trend_last3_vs_last10_plate_appearances,0.009259949650500221,20
trend_last10_vs_season_at_bats,0.009201077914108135,21
trend_last10_vs_season_hits,0.008795508399126304,22
trend_last5_vs_last20_at_bats,0.008596020922228633,23
trend_last3_vs_last10_hits,0.008567920844758447,24
last20_hits_runs_rbis_max,0.008567146010132734,25
last10_hits_std,0.008404836577045043,26
last10_hits_runs_rbis_avg,0.008361213863074294,27
last10_hits_runs_rbis_median,0.008286900713124094,28
opponent_pitcher_last5_avg_strikeouts,0.008239830844215828,29
trend_last3_vs_last10_runs,0.008145315756386126,30
trend_last10_vs_season_hits_runs_rbis,0.008131411701521696,31
last20_hits_runs_rbis_std,0.008042609400022478,32
last10_hits_coefficient_variation,0.008024702841716191,33
last20_hits_runs_rbis_coefficient_variation,0.007998081209772396,34
trend_last10_vs_season_rbi,0.00796901224668961,35
last20_rbi_coefficient_variation,0.007937919504779943,36
last20_hits_runs_rbis_per_pa,0.007907461298239828,37
last20_runs_coefficient_variation,0.007892730828409826,38
season_hits_runs_rbis_per_pa,0.007831616804760142,39
trend_last10_vs_season_runs,0.007798284969599548,40
