feature,importance,importance_rank
last20_at_bats_avg,0.012418343685567379,1
season_avg_at_bats,0.009305644780397415,2
season_home_runs_per_pa,0.007799422834068537,3
season_avg_plate_appearances,0.0076221320778131485,4
last3_singles_per_ab,0.007098892703652382,5
last3_doubles_per_pa,0.006988316308706999,6
season_std_total_bases,0.006977126467972994,7
previous_game_runs,0.006697565782815218,8
previous_game_doubles,0.006064633373171091,9
last20_rbi_avg,0.005795159377157688,10
last10_fantasy_score_avg,0.005792591720819473,11
last3_home_runs_avg,0.005443864036351442,12
previous_game_walks,0.005385738797485828,13
last20_plate_appearances_avg,0.005329016130417585,14
previous_game_strikeouts,0.005231724586337805,15
previous_game_at_bats,0.005131924524903297,16
season_std_home_runs,0.004967131651937962,17
days_rest,0.004787583369761705,18
opponent_pitcher_season_avg_strikeouts,0.004762366879731417,19
season_avg_home_runs,0.004750603344291449,20
expected_hits_runs_rbis_from_opportunity,0.00471204798668623,21
last10_at_bats_median,0.004692171234637499,22
opponent_pitcher_last10_avg_strikeouts,0.004625089466571808,23
season_std_walks,0.00460817851126194,24
last5_at_bats_avg,0.004538564011454582,25
last20_fantasy_score_avg,0.004484130535274744,26
season_avg_rbi,0.004369804635643959,27
opponent_pitcher_last5_avg_batters_faced,0.004328868817538023,28
previous_game_hits_runs_rbis,0.004283843096345663,29
opponent_pitcher_season_std_walks,0.004240956157445908,30
last10_runs_avg,0.004224968142807484,31
previous_game_hits,0.004193576984107494,32
season_std_hits_runs_rbis,0.004172480199486017,33
season_avg_triples,0.004132810048758984,34
last5_total_bases_coefficient_variation,0.004024512134492397,35
last3_walks_per_pa,0.003972077276557684,36
opponent_pitcher_season_avg_walks_per_9,0.003953323699533939,37
trend_last10_vs_season_runs,0.003917879890650511,38
last20_plate_appearances_min,0.00390753336250782,39
last5_singles_per_ab,0.003886010032147169,40
last10_triples_avg,0.003845134750008583,41
last20_total_bases_std,0.0038083239924162626,42
trend_last10_vs_season_fantasy_score,0.0037904393393546343,43
last20_at_bats_median,0.0037050521932542324,44
last20_total_bases_per_ab,0.0036716177128255367,45
previous_game_total_bases,0.003663975978270173,46
last3_at_bats_avg,0.0036259798798710108,47
opponent_pitcher_last5_avg_walks_per_9,0.0036203768104314804,48
last5_rbi_std,0.003570981090888381,49
last10_plate_appearances_avg,0.0035381224006414413,50
expected_hits_from_opportunity,0.0035359510220587254,51
last10_plate_appearances_min,0.003509143367409706,52
last5_strikeouts_std,0.003492549993097782,53
season_std_rbi,0.0034842684399336576,54
trend_last10_vs_season_total_bases,0.0034774006344377995,55
last10_home_runs_per_pa,0.0034693495836108923,56
last20_hits_runs_rbis_max,0.003468202194198966,57
prior_games,0.003460940672084689,58
last3_total_bases_per_ab,0.0034506451338529587,59
opponent_pitcher_last5_avg_walks,0.003429631469771266,60
trend_last5_vs_last20_hits_runs_rbis,0.003407689742743969,61
opponent_pitcher_season_std_walk_rate_bf,0.0033820143435150385,62
last10_doubles_per_ab,0.003319381270557642,63
last3_fantasy_score_median,0.0033176804427057505,64
last20_total_bases_median,0.0032883300445973873,65
last10_fantasy_score_per_pa,0.0032652837689965963,66
last10_hits_runs_rbis_std,0.0032616935204714537,67
opponent_pitcher_last10_avg_batters_faced,0.0032524208072572947,68
last10_singles_per_ab,0.0032294997945427895,69
last20_hits_runs_rbis_avg,0.0032178370747715235,70
trend_last10_vs_season_doubles,0.0032030802685767412,71
last20_hits_runs_rbis_median,0.003202983411028981,72
last5_fantasy_score_median,0.0032008755952119827,73
opponent_pitcher_season_avg_strikeouts_per_9,0.0031942895147949457,74
last5_plate_appearances_std,0.0031854829285293818,75
last5_hits_avg,0.0031809359788894653,76
expected_at_bats,0.0031744653824716806,77
last20_home_runs_std,0.0031643526162952185,78
opponent_pitcher_last5_avg_strikeout_rate_bf,0.0031554570887237787,79
trend_last10_vs_season_at_bats,0.0031517420429736376,80
last3_runs_median,0.00314893270842731,81
trend_last3_vs_last10_strikeouts,0.0031312990467995405,82
opponent_split_avg_hits_runs_rbis,0.0031309279147535563,83
