feature,importance,importance_rank
season_avg_plate_appearances,0.013651943578309764,1
last20_plate_appearances_avg,0.011736424390375368,2
expected_plate_appearances,0.009005830599765221,3
last10_plate_appearances_avg,0.007909100820141353,4
last20_at_bats_avg,0.007568698070016199,5
season_avg_at_bats,0.007458065709802473,6
last20_at_bats_median,0.006690268139400716,7
season_avg_fantasy_score,0.0062398773099195245,8
expected_fantasy_from_opportunity,0.005986739523307927,9
opponent_split_avg_plate_appearances,0.0053081571191135515,10
day_of_week,0.0053046416631238056,11
last10_at_bats_median,0.004318989575646332,12
previous_game_strikeouts,0.004300123385783469,13
last20_fantasy_score_avg,0.004153914542214754,14
last5_plate_appearances_avg,0.004045072019676234,15
season_avg_walks,0.004010861470687322,16
last20_plate_appearances_median,0.003948331750459671,17
last10_at_bats_avg,0.003834216664658534,18
last10_plate_appearances_median,0.0037447075928544312,19
prior_games,0.0037132840409513715,20
previous_game_walks,0.0035749794283509283,21
previous_game_plate_appearances,0.003552339072551149,22
trend_last3_vs_last10_strikeouts,0.0035392128842160124,23
season_avg_runs,0.003500314202270962,24
last3_rbi_coefficient_variation,0.0033683018724547744,25
trend_last5_vs_last20_strikeouts,0.0033418350416944244,26
previous_game_at_bats,0.0033252776163698594,27
expected_hits_runs_rbis_from_opportunity,0.003286434437425541,28
trend_last10_vs_season_strikeouts,0.0032311820980897923,29
expected_at_bats,0.0032272145003055044,30
trend_last3_vs_last10_singles,0.003175837024517229,31
last5_rbi_coefficient_variation,0.0031723589952122526,32
last5_plate_appearances_min,0.0031658851129203,33
last10_plate_appearances_min,0.00310598205946623,34
previous_game_singles,0.0031039346457633053,35
last3_runs_coefficient_variation,0.0030929660814818555,36
season_avg_hits_runs_rbis,0.003079241085325545,37
last10_rbi_coefficient_variation,0.003071677745131621,38
last10_strikeouts_median,0.003065630902585626,39
season_std_plate_appearances,0.003060096931826251,40
last20_runs_avg,0.0030029955337302757,41
last3_at_bats_std,0.002997994351727788,42
last5_runs_coefficient_variation,0.002970727517255118,43
month,0.0029660766814796242,44
last3_strikeouts_median,0.002931520061279397,45
trend_last10_vs_season_walks,0.002917793278940329,46
is_back_to_back,0.002913614653419484,47
season_std_runs,0.0028863968036060353,48
last3_strikeouts_std,0.00288034077500324,49
season_avg_strikeouts,0.002874790345059735,50
trend_last3_vs_last10_walks,0.002854786366305827,51
last5_plate_appearances_median,0.0028492476925238734,52
trend_last3_vs_last10_rbi,0.002815739976575085,53
season_std_walks,0.0028119668665391607,54
last5_at_bats_std,0.0027604347783348475,55
season_walks_per_pa,0.002746904439166787,56
last3_at_bats_min,0.0027457353632178204,57
trend_last5_vs_last20_doubles,0.0027311005070304257,58
last3_fantasy_score_coefficient_variation,0.0027171673642634375,59
last5_total_bases_coefficient_variation,0.002705477585313196,60
last10_at_bats_min,0.00269788810549029,61
season_avg_total_bases,0.0026963603081266796,62
last10_runs_avg,0.0026830886863047562,63
trend_last10_vs_season_hits,0.0026688525892974786,64
trend_last10_vs_season_singles,0.002649041544450544,65
last3_singles_median,0.002635778566867722,66
previous_game_hits,0.002630733631862259,67
last10_at_bats_std,0.0026235157424473595,68
last20_walks_avg,0.002620370746187763,69
previous_game_hits_runs_rbis,0.0026090964143109575,70
opponent_split_avg_hits,0.0026024957355615178,71
trend_last5_vs_last20_runs,0.002600547574049556,72
last3_total_bases_coefficient_variation,0.0025922371385837975,73
last3_walks_std,0.002581237324810893,74
trend_last5_vs_last20_walks,0.002578210414369098,75
last20_hits_runs_rbis_avg,0.002575940082874915,76
previous_game_runs,0.0025754784977419162,77
last5_runs_per_pa,0.002557710906822598,78
trend_last5_vs_last20_at_bats,0.0025312643377280357,79
trend_last3_vs_last10_runs,0.0025253931794025626,80
last3_plate_appearances_avg,0.0025074263685512525,81
last10_plate_appearances_std,0.0025009095324268187,82
last3_strikeouts_max,0.002497699515992213,83
last3_hits_coefficient_variation,0.002494783205225184,84
trend_last10_vs_season_stolen_bases,0.0024839474507222176,85
last20_hits_max,0.002475383562449388,86
trend_last3_vs_last10_doubles,0.002454304105067298,87
last20_plate_appearances_min,0.002432222280082701,88
previous_game_fantasy_score,0.0024296924893669443,89
last3_plate_appearances_std,0.002423364043816018,90
opponent_split_avg_hits_runs_rbis,0.0024204879882309023,91
last10_hits_max,0.0024148628290564847,92
last3_strikeouts_per_ab,0.0024016573997561338,93
trend_last10_vs_season_doubles,0.0024010537670080207,94
last5_strikeouts_std,0.002389352413087965,95
last3_hits_runs_rbis_coefficient_variation,0.002389312234103872,96
last20_walks_std,0.0023870408167881423,97
last10_hits_per_pa,0.002381719562216341,98
season_runs_per_pa,0.0023711283130387405,99
last3_walks_max,0.0023705294597900057,100
trend_last3_vs_last10_plate_appearances,0.002370081460229988,101
last20_strikeouts_max,0.002369900719739071,102
last20_strikeouts_median,0.0023605253039983218,103
last10_hits_coefficient_variation,0.00235528554422156,104
season_std_strikeouts,0.0023547523283091887,105
last5_strikeouts_median,0.0023523529510784463,106
trend_last3_vs_last10_at_bats,0.0023479679568193016,107
last5_fantasy_score_coefficient_variation,0.0023458486843305135,108
last10_hits_runs_rbis_coefficient_variation,0.0023446590489020406,109
last20_runs_std,0.002343596077190647,110
last10_strikeouts_std,0.0023313886275545185,111
last20_plate_appearances_max,0.0023311414991964543,112
last20_strikeouts_std,0.002327995984729223,113
last5_hits_runs_rbis_coefficient_variation,0.0023262330224248,114
trend_last10_vs_season_plate_appearances,0.002324967844654184,115
opponent_split_avg_runs,0.0023241687620355915,116
last10_walks_avg,0.002321945153420633,117
last3_strikeouts_per_pa,0.002316235104394578,118
last5_strikeouts_per_pa,0.0023134834364135584,119
last20_at_bats_max,0.002307316030086823,120
last5_hits_runs_rbis_median,0.0023067615162884994,121
trend_last10_vs_season_at_bats,0.0023055396633238833,122
last5_strikeouts_avg,0.002304414035984144,123
trend_last5_vs_last20_plate_appearances,0.0022983280936667056,124
trend_last5_vs_last20_singles,0.002295408472968719,125
last10_fantasy_score_coefficient_variation,0.002294386795599401,126
last10_runs_coefficient_variation,0.0022879665868587758,127
trend_last3_vs_last10_hits,0.0022781652520958064,128
trend_last5_vs_last20_hits_runs_rbis,0.002276956356042779,129
last20_fantasy_score_coefficient_variation,0.0022755500794902914,130
opponent_split_avg_fantasy_score,0.0022689933948550406,131
last20_walks_max,0.002263705451467107,132
season_avg_hits,0.0022512809169896687,133
trend_last3_vs_last10_hits_runs_rbis,0.0022503922347719496,134
previous_game_rbi,0.0022315968308939814,135
previous_game_total_bases,0.0022263584979585554,136
trend_last5_vs_last20_rbi,0.0022231424109530407,137
last20_doubles_avg,0.002207016046138663,138
last20_runs_coefficient_variation,0.002206660796491113,139
last20_runs_per_pa,0.0022043914950721664,140
last3_walks_per_pa,0.0022005298777842894,141
season_std_stolen_bases,0.002187601689743409,142
trend_last10_vs_season_hits_runs_rbis,0.0021869086153426002,143
last10_fantasy_score_avg,0.002171395417122459,144
last10_singles_per_pa,0.00216920382387091,145
last20_at_bats_min,0.0021674960172631467,146
last3_at_bats_avg,0.0021643168096722805,147
last5_hits_per_ab,0.002163023779295823,148
trend_last10_vs_season_runs,0.00215499231155459,149
last3_strikeouts_min,0.002152398570400354,150
last20_fantasy_score_median,0.0021515350432746777,151
last10_hits_std,0.002149502871442297,152
last20_runs_max,0.0021494592949648918,153
last5_plate_appearances_max,0.002149311911642657,154
last20_hits_per_pa,0.002142636251288465,155
