feature,importance,importance_rank
season_avg_plate_appearances,0.0236734040081501,1
season_avg_at_bats,0.020790735259652138,2
last20_at_bats_avg,0.014414000324904919,3
last20_plate_appearances_avg,0.010418144054710865,4
last20_at_bats_median,0.009466394782066345,5
season_avg_total_bases,0.007093410007655621,6
season_total_bases_per_pa,0.006926502101123333,7
last5_rbi_per_pa,0.006511244922876358,8
season_std_triples,0.006236314307898283,9
last3_hits_std,0.006197945214807987,10
expected_plate_appearances,0.005544755607843399,11
last20_total_bases_avg,0.005310954991728067,12
last10_at_bats_avg,0.005274414084851742,13
last20_hits_runs_rbis_std,0.0049368953332304955,14
last10_at_bats_median,0.004927279893308878,15
season_std_home_runs,0.004847987089306116,16
last10_hits_runs_rbis_per_pa,0.004580117762088776,17
last5_hits_runs_rbis_median,0.004563664086163044,18
season_avg_triples,0.004377562552690506,19
season_avg_hits_runs_rbis,0.0043614935129880905,20
last10_singles_median,0.004314083606004715,21
last10_plate_appearances_median,0.0043103755451738834,22
last20_singles_per_pa,0.004093363881111145,23
opponent_pitcher_season_std_walks,0.003987058065831661,24
season_avg_singles,0.003959110472351313,25
last5_rbi_coefficient_variation,0.003918485715985298,26
trend_last3_vs_last10_rbi,0.0038973784539848566,27
last10_strikeouts_per_pa,0.0038821131456643343,28
last5_walks_per_pa,0.003872905857861042,29
last20_hits_runs_rbis_coefficient_variation,0.0038683428429067135,30
last5_rbi_std,0.003842498641461134,31
last20_home_runs_per_pa,0.003804587060585618,32
season_std_fantasy_score,0.0038009905256330967,33
trend_last10_vs_season_stolen_bases,0.0037515221629291773,34
season_std_runs,0.003751082345843315,35
last10_home_runs_per_ab,0.0036907896865159273,36
last10_stolen_bases_per_pa,0.0036794350016862154,37
trend_last10_vs_season_plate_appearances,0.003678399370983243,38
last20_strikeouts_avg,0.003671972779557109,39
season_triples_per_pa,0.003635822096839547,40
season_std_total_bases,0.00363528891466558,41
last3_at_bats_min,0.0036324155516922474,42
last20_hit_by_pitch_per_pa,0.0036057308316230774,43
season_std_rbi,0.003604430239647627,44
trend_last10_vs_season_at_bats,0.0035839774645864964,45
opponent_pitcher_season_avg_earned_runs,0.003558913478627801,46
last10_strikeouts_avg,0.0034533017314970493,47
season_avg_doubles,0.0034288964234292507,48
season_std_strikeouts,0.00341865886002779,49
prior_games,0.0034176951739937067,50
opponent_pitcher_season_avg_walks,0.0033957376144826412,51
last3_total_bases_coefficient_variation,0.003362474264577031,52
last3_runs_coefficient_variation,0.0033501512371003628,53
opponent_pitcher_last3_avg_hits,0.003346317680552602,54
season_avg_runs,0.003322709584608674,55
month,0.003304158803075552,56
trend_last3_vs_last10_stolen_bases,0.00329498085193336,57
trend_last5_vs_last20_singles,0.0032936434727162123,58
last5_total_bases_coefficient_variation,0.0032842825166881084,59
season_singles_per_pa,0.0032783776987344027,60
last20_hits_per_ab,0.0032748966477811337,61
opponent_pitcher_season_avg_hits,0.003264713566750288,62
last20_rbi_coefficient_variation,0.003264003898948431,63
last10_runs_std,0.003252151422202587,64
last10_hits_per_ab,0.003249670146033168,65
last5_plate_appearances_median,0.0032448016572743654,66
trend_last10_vs_season_fantasy_score,0.0032408004626631737,67
season_std_hits_runs_rbis,0.0032345433719456196,68
trend_last3_vs_last10_hits_runs_rbis,0.003231482347473502,69
last3_hits_runs_rbis_coefficient_variation,0.003223505336791277,70
last10_total_bases_coefficient_variation,0.0032107450533658266,71
last5_hits_runs_rbis_per_pa,0.0031780304852873087,72
last20_strikeouts_per_pa,0.0031573546584695578,73
trend_last10_vs_season_doubles,0.003157032420858741,74
expected_at_bats,0.003155718557536602,75
opponent_pitcher_last3_avg_walks,0.003129829652607441,76
last5_fantasy_score_median,0.0031226014252752066,77
trend_last3_vs_last10_total_bases,0.0031225739512592554,78
last10_rbi_max,0.0031134875025600195,79
trend_last10_vs_season_singles,0.003104128409177065,80
opponent_pitcher_season_std_batters_faced,0.0030951686203479767,81
opponent_pitcher_last3_avg_home_runs,0.003092939266934991,82
last20_walks_max,0.0030907881446182728,83
trend_last10_vs_season_total_bases,0.003090557875111699,84
season_avg_walks,0.00308546656742692,85
last5_singles_per_pa,0.0030673483852297068,86
last5_singles_per_ab,0.003039383329451084,87
last5_hits_runs_rbis_avg,0.0030340924859046936,88
last5_fantasy_score_avg,0.003024638630449772,89
last20_fantasy_score_min,0.0030237743631005287,90
last20_runs_std,0.003019127296283841,91
season_std_walks,0.0030150003731250763,92
last10_total_bases_per_ab,0.003006802638992667,93
last20_doubles_std,0.003004765836521983,94
last10_singles_per_ab,0.0029877792112529278,95
last20_plate_appearances_std,0.0029758985619992018,96
season_avg_home_runs,0.0029728980734944344,97
last10_fantasy_score_avg,0.0029475886840373278,98
trend_last10_vs_season_hits,0.0029354591388255358,99
last5_fantasy_score_std,0.0029281277675181627,100
last10_hit_by_pitch_per_pa,0.0029256942216306925,101
last5_total_bases_avg,0.002921960549429059,102
last10_singles_per_pa,0.002917058765888214,103
last5_plate_appearances_avg,0.0028986164834350348,104
opponent_pitcher_season_std_hits_per_9,0.0028807425405830145,105
last3_hits_runs_rbis_per_pa,0.0028725622687488794,106
last10_strikeouts_per_ab,0.002867243718355894,107
last10_strikeouts_std,0.002866796450689435,108
last3_total_bases_avg,0.002866466296836734,109
last5_plate_appearances_max,0.0028581139631569386,110
last3_triples_per_ab,0.0028536932077258825,111
last10_hits_std,0.002833279315382242,112
trend_last5_vs_last20_rbi,0.0028303400613367558,113
season_std_at_bats,0.002826020820066333,114
last3_rbi_coefficient_variation,0.002825481817126274,115
last10_hits_runs_rbis_coefficient_variation,0.0028240003157407045,116
last10_doubles_avg,0.002822104375809431,117
trend_last5_vs_last20_strikeouts,0.0028159557841718197,118
opponent_pitcher_last5_avg_strikeouts,0.0028032877016812563,119
last5_at_bats_max,0.0028001172468066216,120
season_strikeouts_per_pa,0.002795977983623743,121
opponent_pitcher_season_std_era,0.002794321160763502,122
last20_hits_runs_rbis_median,0.002793301362544298,123
last20_doubles_per_pa,0.002790749305859208,124
last20_total_bases_per_ab,0.0027890473138540983,125
last5_hits_runs_rbis_coefficient_variation,0.0027872633654624224,126
trend_last10_vs_season_hit_by_pitch,0.0027796996291726828,127
trend_last5_vs_last20_doubles,0.0027637388557195663,128
last20_home_runs_std,0.0027616778388619423,129
last20_total_bases_coefficient_variation,0.0027611374389380217,130
last3_hits_runs_rbis_min,0.002744821598753333,131
last3_fantasy_score_median,0.0027341581881046295,132
last20_total_bases_per_pa,0.002730598673224449,133
last20_hits_std,0.0027271586004644632,134
season_rbi_per_pa,0.0027240170165896416,135
last10_hits_coefficient_variation,0.0027149443048983812,136
trend_last10_vs_season_hits_runs_rbis,0.0027064564637839794,137
last10_walks_std,0.0026992959901690483,138
last10_total_bases_std,0.002697238465771079,139
last20_walks_per_pa,0.002690034918487072,140
last5_home_runs_avg,0.00265315780416131,141
trend_last3_vs_last10_runs,0.002651028800755739,142
previous_game_doubles,0.002635309472680092,143
season_avg_hit_by_pitch,0.002632909221574664,144
last10_walks_avg,0.002620084909722209,145
last20_strikeouts_median,0.0026169857010245323,146
last20_hits_runs_rbis_avg,0.0026147894095629454,147
last10_rbi_std,0.0026063567493110895,148
last20_strikeouts_max,0.002598799066618085,149
last20_doubles_avg,0.002592281671240926,150
last20_rbi_max,0.0025910520926117897,151
last20_fantasy_score_coefficient_variation,0.0025898274034261703,152
last10_singles_std,0.0025657296646386385,153
last3_plate_appearances_min,0.0025572916492819786,154
last3_at_bats_median,0.0025555540341883898,155
opponent_pitcher_season_std_fip_component,0.0025512848515063524,156
expected_hits_runs_rbis_from_opportunity,0.0025440978351980448,157
trend_last3_vs_last10_strikeouts,0.0025367538910359144,158
last3_fantasy_score_min,0.0025357131380587816,159
last10_singles_max,0.002534473780542612,160
last10_home_runs_std,0.0025330481585115194,161
season_stolen_bases_per_pa,0.00253300741314888,162
