grade,confidence_tier,platform,player,market,direction,line,sportsbook_odds,projection,raw_projection_edge,probability,sportsbook_implied_probability,no_vig_implied_probability,probability_edge,expected_value,fair_odds,kelly_fraction,recommended_bankroll_fraction,distribution_method,calibration_sample_size,validation_mae,confidence_score,risk_score,market_quality_score,projection_quality_score,ranking_score,historical_market_sample,historical_market_win_rate,model_score,line_type,elite_score,elite_eligible,elite_rejection_reasons,elite_history_sample,elite_history_win_rate,elite_history_lower_bound,elite_probability_threshold,elite_probability_edge_threshold,elite_expected_value_threshold,elite_absolute_projection_edge,team,opponent,home_team,away_team,commence_time,fetched_at
A,Strong,Prophetx,Yordan Alvarez,hitter_hits,Under,1.5,-198,0.91,-0.59,0.7486,0.6644,0.6351,0.1134,0.1266,-298.0,0.2507,0.025,empirical_holdout_residuals,5296.0,0.6828,70.9,24.9,86.8,75.0,74.7,297,0.7101,75.33,standard,71.15,False,confidence_score_below_elite_threshold|probability_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.59,Houston Astros,Chicago White Sox,,,2026-07-24T23:40:00Z,2026-07-24T21:48:11Z
A,Strong,Prizepicks,Davis Schneider,hitter_hits_runs_rbis,Under,3.5,-100,1.166,-2.334,0.8184,0.5,0.5,0.3184,0.6369,-451.0,0.6369,0.025,empirical_holdout_residuals,5609.0,1.5067,88.6,22.2,50.0,76.3,78.8,319,0.6732,75.0,standard,97.29,False,market_quality_below_elite_threshold,102.0,0.8137,0.7595,0.78,0.12,0.14,2.334,Toronto Blue Jays,Boston Red Sox,,,2026-07-24T23:15:00Z,2026-07-24T21:48:11Z
A,Strong,Prophetx,Vladimir Guerrero Jr.,hitter_hits,Under,1.5,-215,0.955,-0.545,0.747,0.6825,0.6516,0.0954,0.0944,-295.0,0.203,0.025,empirical_holdout_residuals,5296.0,0.6828,66.6,26.6,89.9,75.0,72.7,297,0.7101,74.72,standard,66.81,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.545,Toronto Blue Jays,Boston Red Sox,,,2026-07-24T23:15:00Z,2026-07-24T21:48:11Z
A,Strong,Prophetx,Jeremy Peña,hitter_hits,Under,1.5,-220,0.969,-0.531,0.7467,0.6875,0.6549,0.0918,0.0861,-295.0,0.1894,0.025,empirical_holdout_residuals,5296.0,0.6828,65.7,27.0,90.7,75.0,72.3,297,0.7101,74.61,standard,65.82,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.531,Houston Astros,Chicago White Sox,,,2026-07-24T23:40:00Z,2026-07-24T21:48:11Z
B+,Good,Novig,Tommy Edman,hitter_hits,Under,1.5,-245,0.884,-0.616,0.7487,0.7101,0.667,0.0818,0.0543,-298.0,0.1331,0.025,empirical_holdout_residuals,5296.0,0.6828,63.0,27.8,93.9,75.0,71.3,297,0.7101,74.52,standard,62.71,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.616,Los Angeles Dodgers,New York Mets,,,2026-07-24T23:10:00Z,2026-07-24T21:48:11Z
B+,Good,Prophetx,Ozzie Albies,hitter_hits,Under,1.5,-225,0.963,-0.537,0.7467,0.6923,0.6597,0.087,0.0785,-295.0,0.1767,0.025,empirical_holdout_residuals,5296.0,0.6828,64.7,27.4,91.5,75.0,71.8,297,0.7101,74.49,standard,64.77,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.537,Atlanta Braves,Baltimore Orioles,,,2026-07-24T23:05:00Z,2026-07-24T21:48:11Z
B+,Good,Parx,Otto Lopez,hitter_hits,Under,1.5,-225,1.037,-0.463,0.741,0.6923,0.6515,0.0895,0.0704,-286.0,0.1583,0.025,empirical_holdout_residuals,5296.0,0.6828,63.9,27.7,92.3,75.0,71.5,297,0.7101,74.28,standard,63.79,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,272.0,0.7206,0.6845,0.76,0.1,0.12,0.463,Miami Marlins,San Diego Padres,,,2026-07-24T23:10:00Z,2026-07-24T21:48:11Z
B+,Good,Fanatics,Dillon Dingler,hitter_hits,Under,1.5,-250,0.965,-0.535,0.7467,0.7143,0.6706,0.0761,0.0454,-295.0,0.1134,0.025,empirical_holdout_residuals,5296.0,0.6828,61.6,28.4,94.9,75.0,70.6,297,0.7101,74.28,standard,61.29,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,271.0,0.7232,0.6872,0.76,0.1,0.12,0.535,Detroit Tigers,Kansas City Royals,,,2026-07-24T22:40:00Z,2026-07-24T21:48:11Z
A,Strong,Prophetx,Ernie Clement,hitter_hits,Under,1.5,-200,1.084,-0.416,0.7353,0.6667,0.6359,0.0994,0.103,-278.0,0.206,0.025,empirical_holdout_residuals,5296.0,0.6828,66.1,27.1,89.2,75.0,72.3,297,0.7101,74.17,standard,66.63,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,272.0,0.7206,0.6845,0.76,0.1,0.12,0.416,Toronto Blue Jays,Boston Red Sox,,,2026-07-24T23:15:00Z,2026-07-24T21:48:11Z
B+,Good,Novig,Jake Mangum,hitter_hits,Under,1.5,-233,1.041,-0.459,0.7404,0.6997,0.6629,0.0775,0.0581,-285.0,0.1355,0.025,empirical_holdout_residuals,5296.0,0.6828,61.6,28.7,93.6,75.0,70.3,297,0.7101,73.9,standard,61.56,False,confidence_score_below_elite_threshold|risk_score_above_elite_threshold|probability_below_elite_threshold|edge_below_elite_threshold|ev_below_elite_threshold|historical_segment_not_proven,272.0,0.7206,0.6845,0.76,0.1,0.12,0.459,Pittsburgh Pirates,Chicago Cubs,,,2026-07-24T22:40:00Z,2026-07-24T21:48:11Z
