sport,slate_date,game_id,player_id,player,team,opponent,market,projection,projection_lower_80,projection_upper_80,residual_standard_deviation,model_name,validation_mae,batting_order,position,expected_plate_appearances,days_rest,source_file
MLB,2026-07-21,824895,621566,Matt Olson,Atlanta Braves,San Diego Padres,hitter_fantasy_score,9.969,3.21,20.34,7.195,xgboost,5.4863,3.0,1B,4.4968,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,656941,Kyle Schwarber,Philadelphia Phillies,Los Angeles Dodgers,hitter_fantasy_score,9.696,2.937,20.067,7.195,xgboost,5.4863,2.0,DH,4.3787,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,671739,Michael Harris II,Atlanta Braves,San Diego Padres,hitter_fantasy_score,9.547,2.788,19.918,7.195,xgboost,5.4863,5.0,CF,4.61,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,645277,Ozzie Albies,Atlanta Braves,San Diego Padres,hitter_fantasy_score,9.539,2.78,19.91,7.195,xgboost,5.4863,2.0,2B,4.5867,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,691718,Pete Crow-Armstrong,Chicago Cubs,Detroit Tigers,hitter_fantasy_score,9.396,2.637,19.767,7.195,xgboost,5.4863,1.0,CF,4.552,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,643289,Mauricio Dubón,Atlanta Braves,San Diego Padres,hitter_fantasy_score,9.282,2.523,19.653,7.195,xgboost,5.4863,6.0,LF,4.2789,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824165,670541,Yordan Alvarez,Houston Astros,Miami Marlins,hitter_fantasy_score,9.126,2.367,19.497,7.195,xgboost,5.4863,2.0,DH,4.556,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,699013,Esmerlyn Valdez,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,9.117,2.358,19.488,7.195,xgboost,5.4863,4.0,RF,4.2825,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,693307,Dillon Dingler,Detroit Tigers,Chicago Cubs,hitter_fantasy_score,9.114,2.355,19.484,7.195,xgboost,5.4863,4.0,DH,4.233,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,668804,Bryan Reynolds,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,9.081,2.321,19.451,7.195,xgboost,5.4863,2.0,DH,4.2293,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,656811,Ryan O'Hearn,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,9.068,2.309,19.439,7.195,xgboost,5.4863,6.0,1B,4.1879,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,676551,Brewer Hicklen,Atlanta Braves,San Diego Padres,hitter_fantasy_score,9.047,2.288,19.418,7.195,xgboost,5.4863,8.0,RF,4.3333,2.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,664040,Brandon Lowe,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,9.022,2.263,19.393,7.195,xgboost,5.4863,3.0,2B,4.3125,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,547180,Bryce Harper,Philadelphia Phillies,Los Angeles Dodgers,hitter_fantasy_score,8.902,2.143,19.273,7.195,xgboost,5.4863,3.0,1B,4.3316,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,701398,Sal Stewart,Cincinnati Reds,Seattle Mariners,hitter_fantasy_score,8.876,2.117,19.247,7.195,xgboost,5.4863,2.0,1B,4.5227,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,805808,Kevin McGonigle,Detroit Tigers,Chicago Cubs,hitter_fantasy_score,8.839,2.079,19.209,7.195,xgboost,5.4863,2.0,SS,4.5407,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,682928,CJ Abrams,Washington Nationals,Colorado Rockies,hitter_fantasy_score,8.661,1.902,19.032,7.195,xgboost,5.4863,4.0,SS,4.5336,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824409,621439,Byron Buxton,Minnesota Twins,Cleveland Guardians,hitter_fantasy_score,8.593,1.834,18.964,7.195,xgboost,5.4863,2.0,CF,3.9195,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,606466,Ketel Marte,Arizona Diamondbacks,Athletics,hitter_fantasy_score,8.576,1.817,18.947,7.195,xgboost,5.4863,1.0,DH,4.4312,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,693304,Nick Gonzales,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,8.574,1.815,18.945,7.195,xgboost,5.4863,5.0,3B,4.4432,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822871,808959,Munetaka Murakami,Chicago White Sox,Texas Rangers,hitter_fantasy_score,8.562,1.802,18.932,7.195,xgboost,5.4863,2.0,1B,4.3256,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,661388,William Contreras,Milwaukee Brewers,New York Mets,hitter_fantasy_score,8.555,1.796,18.926,7.195,xgboost,5.4863,3.0,DH,4.1602,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824329,696100,Hunter Goodman,Colorado Rockies,Washington Nationals,hitter_fantasy_score,8.55,1.791,18.92,7.195,xgboost,5.4863,3.0,C,4.0344,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,663968,Jake Mangum,Pittsburgh Pirates,New York Yankees,hitter_fantasy_score,8.524,1.765,18.895,7.195,xgboost,5.4863,1.0,LF,4.075,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,682829,Elly De La Cruz,Cincinnati Reds,Seattle Mariners,hitter_fantasy_score,8.499,1.739,18.869,7.195,xgboost,5.4863,1.0,SS,4.575,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,683737,Michael Busch,Chicago Cubs,Detroit Tigers,hitter_fantasy_score,8.479,1.72,18.85,7.195,xgboost,5.4863,5.0,1B,4.5449,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823114,668709,JJ Bleday,Cincinnati Reds,Seattle Mariners,hitter_fantasy_score,8.452,1.693,18.823,7.195,xgboost,5.4863,3.0,LF,4.2079,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824005,802139,JJ Wetherholt,St. Louis Cardinals,Los Angeles Angels,hitter_fantasy_score,8.309,1.55,18.68,7.195,xgboost,5.4863,1.0,2B,4.6285,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,665742,Juan Soto,New York Mets,Milwaukee Brewers,hitter_fantasy_score,8.309,1.55,18.68,7.195,xgboost,5.4863,2.0,DH,4.3785,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,671218,Heliot Ramos,San Francisco Giants,Kansas City Royals,hitter_fantasy_score,8.231,1.472,18.602,7.195,xgboost,5.4863,1.0,LF,4.1729,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823519,663757,Trent Grisham,New York Yankees,Pittsburgh Pirates,hitter_fantasy_score,8.222,1.463,18.593,7.195,xgboost,5.4863,1.0,CF,4.13,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,825056,669127,Shea Langeliers,Athletics,Arizona Diamondbacks,hitter_fantasy_score,8.204,1.444,18.574,7.195,xgboost,5.4863,3.0,C,4.3278,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,664023,Ian Happ,Chicago Cubs,Detroit Tigers,hitter_fantasy_score,8.199,1.44,18.57,7.195,xgboost,5.4863,7.0,LF,4.1925,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824085,669477,Casey Schmitt,San Francisco Giants,Kansas City Royals,hitter_fantasy_score,8.145,1.386,18.516,7.195,xgboost,5.4863,3.0,3B,4.3635,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823760,694192,Jackson Chourio,Milwaukee Brewers,New York Mets,hitter_fantasy_score,8.1,1.341,18.471,7.195,xgboost,5.4863,1.0,LF,4.5021,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,650402,Gleyber Torres,Detroit Tigers,Chicago Cubs,hitter_fantasy_score,8.095,1.336,18.466,7.195,xgboost,5.4863,1.0,2B,4.0164,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,672960,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,hitter_fantasy_score,8.089,1.33,18.46,7.195,xgboost,5.4863,6.0,3B,4.2427,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,822787,650490,Yandy Díaz,Tampa Bay Rays,Toronto Blue Jays,hitter_fantasy_score,8.077,1.318,18.448,7.195,xgboost,5.4863,1.0,DH,4.5279,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824652,673548,Seiya Suzuki,Chicago Cubs,Detroit Tigers,hitter_fantasy_score,8.076,1.317,18.447,7.195,xgboost,5.4863,2.0,DH,4.4795,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824895,686948,Drake Baldwin,Atlanta Braves,San Diego Padres,hitter_fantasy_score,8.07,1.311,18.441,7.195,xgboost,5.4863,1.0,C,4.6095,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824005,545361,Mike Trout,Los Angeles Angels,St. Louis Cardinals,hitter_fantasy_score,8.07,1.311,18.441,7.195,xgboost,5.4863,2.0,CF,4.3549,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,824735,677800,Wilyer Abreu,Boston Red Sox,Baltimore Orioles,hitter_fantasy_score,8.009,1.25,18.38,7.195,xgboost,5.4863,3.0,RF,4.258,1.0,outputs/hitters/today_hitter_projections.csv
MLB,2026-07-21,823437,669016,Brandon Marsh,Philadelphia Phillies,Los Angeles Dodgers,hitter_fantasy_score,7.996,1.237,18.367,7.195,xgboost,5.4863,7.0,RF,4.0317,1.0,outputs/hitters/today_hitter_projections.csv
