date,game_id,team,opponent,side,pitcher_id,pitcher_name,status,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last5_avg_ks,last5_avg_ip,last5_avg_hits,last5_avg_walks,last5_avg_er,last3_avg_ks,last3_avg_ip,projected_ip,projected_hits_allowed,projected_walks,projected_er,projected_win_prob
2026-07-09,824251,Athletics,Detroit Tigers,away,660761,José Suarez,Pre-Game,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,2.4,2.08,3.4,1.0,1.6,1.0,1.7333333333333334,2.08,3.4,1.0,1.6,0.35
2026-07-09,824251,Detroit Tigers,Athletics,home,664285,Framber Valdez,Pre-Game,8.75,4.554347826086956,8.423913043478262,3.630434782608696,0.247,0.325,0.407,0.732,4.0,6.0,5.4,1.8,2.2,3.333333333333333,6.0,6.0,5.4,1.8,2.2,0.35
2026-07-09,823846,Seattle Mariners,Miami Marlins,away,682243,Bryce Miller,Pre-Game,8.096774193548388,4.580645161290323,8.451612903225806,3.419354838709677,0.254,0.33,0.412,0.742,5.8,5.26,3.2,1.0,0.8,6.333333333333333,5.333333333333333,5.26,3.2,1.0,0.8,0.35
2026-07-09,823846,Miami Marlins,Seattle Mariners,home,676083,Janson Junk,Pre-Game,8.688172043010752,4.053763440860215,7.623655913978495,3.3225806451612905,0.23,0.311,0.379,0.69,3.4,5.26,4.8,1.4,2.2,3.0,5.033333333333333,5.26,4.8,1.4,2.2,0.35
2026-07-09,824494,Philadelphia Phillies,Cincinnati Reds,away,666200,Jesús Luzardo,Pre-Game,9.472527472527473,4.21978021978022,7.637362637362638,3.758241758241758,0.228,0.31,0.392,0.702,6.6,5.14,6.6,1.8,4.2,5.0,4.5,5.14,6.6,1.8,4.2,0.35
2026-07-09,824494,Cincinnati Reds,Philadelphia Phillies,home,663903,Brady Singer,Pre-Game,8.774193548387096,4.43010752688172,8.010752688172044,2.989247311827957,0.238,0.305,0.404,0.709,3.2,4.64,6.4,1.4,2.8,2.0,4.733333333333333,4.64,6.4,1.4,2.8,0.35
2026-07-09,823034,Milwaukee Brewers,St. Louis Cardinals,away,701656,Logan Henderson,Pre-Game,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,6.0,4.6,3.6,1.2,1.4,6.333333333333333,5.0,4.6,3.6,1.2,1.4,0.35
2026-07-09,823034,St. Louis Cardinals,Milwaukee Brewers,home,669467,Andre Pallante,Pre-Game,8.16304347826087,5.086956521739131,8.66304347826087,4.119565217391305,0.255,0.337,0.397,0.734,4.0,5.0200000000000005,4.4,2.8,2.4,5.0,5.033333333333333,5.0200000000000005,4.4,2.8,2.4,0.35
2026-07-09,822877,Los Angeles Angels,Texas Rangers,away,672282,Reid Detmers,Pre-Game,8.347826086956522,4.086956521739131,8.108695652173912,3.2934782608695654,0.243,0.319,0.392,0.711,6.2,5.5,4.6,1.6,2.6,6.0,5.7,5.5,4.6,1.6,2.6,0.35
2026-07-09,822877,Texas Rangers,Los Angeles Angels,home,543135,Nathan Eovaldi,Pre-Game,9.451612903225806,4.462365591397849,8.053763440860216,3.204301075268817,0.239,0.315,0.393,0.708,5.8,5.24,6.6,1.6,3.0,5.666666666666667,6.0,5.24,6.6,1.6,3.0,0.35
2026-07-09,823277,Arizona Diamondbacks,San Diego Padres,away,518876,Merrill Kelly,Scheduled,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,4.0,5.06,6.4,3.6,4.4,4.0,5.366666666666667,5.06,6.4,3.6,4.4,0.35
2026-07-09,823277,San Diego Padres,Arizona Diamondbacks,home,656288,Griffin Canning,Scheduled,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,4.8,4.3,4.4,2.6,3.8,4.0,4.133333333333334,4.3,4.4,2.6,3.8,0.35
2026-07-09,823201,Colorado Rockies,San Francisco Giants,away,663372,Ryan Feltner,Pre-Game,7.804347826086956,4.0978260869565215,8.706521739130435,2.4130434782608696,0.254,0.307,0.418,0.725,3.4,3.86,4.4,1.6,2.8,4.0,3.733333333333333,3.86,4.4,1.6,2.8,0.35
2026-07-09,823201,San Francisco Giants,Colorado Rockies,home,687931,Carson Whisenhunt,Pre-Game,8.74468085106383,4.861702127659575,8.74468085106383,3.1702127659574466,0.257,0.328,0.424,0.752,2.0,5.0,6.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,2.0,0.35
