date,game_id,pitcher_id,pitcher_name,team,opponent,side,status,history_games,days_rest,last3_avg_outs,last5_avg_outs,last10_avg_outs,season_avg_outs,season_median_outs,season_std_outs,recent_std_outs,projected_outs,projected_outs_lower_80,projected_outs_upper_80,projected_outs_residual_std,baseline_projected_outs,model_projected_outs,projected_pitch_count,projected_pitches_per_out,model_blend_weight,projection_reliability_score,projection_confidence,projection_method,calibration_status,uncertainty_method
2026-07-24,823196,657277,Logan Webb,San Francisco Giants,Los Angeles Angels,home,Scheduled,17.0,6.0,16.667,19.0,18.9,18.882,21.0,4.227,5.224,17.788,13.825,21.402,3.185,18.414,17.605,94.7,5.31,0.774,77.463,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823434,666200,Jesús Luzardo,Philadelphia Phillies,New York Yankees,home,Pre-Game,20.0,6.0,18.0,17.8,17.9,17.3,18.0,2.883,2.119,17.159,13.196,20.773,3.185,17.845,16.963,94.933,5.304,0.778,90.861,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824248,669373,Tarik Skubal,Detroit Tigers,Kansas City Royals,home,Pre-Game,14.0,6.0,17.0,17.4,17.5,17.714,18.0,2.403,2.247,17.141,13.178,20.755,3.185,17.378,17.024,90.8,5.279,0.669,86.604,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824812,669432,Trevor Rogers,Baltimore Orioles,Atlanta Braves,home,Pre-Game,18.0,6.0,17.333,18.4,17.6,16.111,17.5,3.814,1.908,17.097,13.134,20.711,3.185,17.604,16.896,93.233,5.218,0.716,90.212,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823434,693645,Cam Schlittler,New York Yankees,Philadelphia Phillies,away,Pre-Game,21.0,5.0,19.0,16.8,17.1,17.571,18.0,3.125,3.7,17.038,13.074,20.652,3.185,17.787,16.79,97.167,5.428,0.751,83.43,HIGH,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,822707,593958,Eduardo Rodriguez,Arizona Diamondbacks,Washington Nationals,away,Pre-Game,20.0,5.0,14.667,17.0,16.9,17.5,18.0,4.129,4.592,16.858,12.894,20.472,3.185,16.372,17.179,87.133,5.503,0.602,75.856,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,822872,682243,Bryce Miller,Seattle Mariners,Texas Rangers,away,Pre-Game,11.0,7.0,17.667,17.0,17.4,17.273,17.0,2.733,2.835,16.64,12.677,20.254,3.185,17.297,16.271,85.467,4.931,0.64,74.36,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823352,571510,Matthew Boyd,Chicago Cubs,Pittsburgh Pirates,away,Pre-Game,10.0,6.0,18.333,16.8,15.6,15.6,16.0,2.653,2.653,16.493,12.529,20.106,3.185,16.962,16.272,88.8,5.055,0.681,73.143,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,823680,805673,Zebby Matthews,Minnesota Twins,Athletics,home,Pre-Game,12.0,5.0,13.667,16.0,17.1,17.5,18.0,3.594,3.754,16.032,12.068,19.645,3.185,15.724,16.189,91.167,6.146,0.661,73.938,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
2026-07-24,824733,702056,Trey Yesavage,Toronto Blue Jays,Boston Red Sox,away,Pre-Game,15.0,5.0,13.667,15.6,16.7,16.2,17.0,4.003,4.428,15.887,11.924,19.501,3.185,15.293,16.238,86.567,5.916,0.629,77.242,MEDIUM,chronological_rf_extratrees_workload_blend,CHRONOLOGICAL_HOLDOUT,empirical_chronological_holdout_quantiles
