feature,importance
actual_ip,0.11011236
last5_avg_ks,0.075021155
opp_avg,0.062875584
actual_walks,0.06171057
opp_slg,0.061259143
opp_hits_per_game,0.0569411
last5_avg_er,0.054772776
last5_avg_walks,0.054636903
opp_k_per_game,0.044866618
last3_avg_ip,0.044754982
actual_earned_runs,0.043037273
last5_avg_ip,0.03982181
last3_avg_ks,0.03798353
opp_obp,0.03767945
last5_avg_hits,0.036787957
opp_walks_per_game,0.036217447
opp_ops,0.03516943
opp_runs_per_game,0.034182787
days_rest,0.027728675
actual_hits,0.026401961
normal_rest,0.018038485
short_rest,0.0
extra_rest,0.0
